RecordNumber,YR,SchoolCode,DistrictCode,Site,ReadingRemediation,PTConfAttendence,AvgDaysAbsent,Mobility,SuspRatioLess10,SuspRatioGreat10,AvgVolunteerHrs,FRL,SpecialEd
,2015,01C019105,01C019,PEAVINE  ELEMENTARY,0.4894,0.25,8.3205,0.10938,,,1.31579,0.9023,0.2331
,2015,01C022105,01C022,MARYETTA ELEMENTARY,0.2551,0.92,8.7046,0.04882,114.83333,,0.56023,0.775,0.1959
,2015,01C024105,01C024,ROCKY MOUNTAIN ELEMENTARY,0.1143,0.91,10.3747,0.07865,,,2.76243,0.8508,0.2376
,2015,01C028105,01C028,ZION ELEMENTARY,0.2533,0.65,6.4683,0.05128,,,0.20057,0.8052,0.1862
,2015,01C029105,01C029,DAHLONEGAH ELEMENTARY,0.2857,1,6.9803,0.5249,,,0.06299,0.8898,0.3543
,2015,01C032105,01C032,GREASY ELEMENTARY,0.5814,0.2,14.6929,0.07143,97,,0.20619,0.8969,0.3093
,2015,01I004105,01I004,WATTS ELEMENTARY,0.3118,0.62,12.29,0.08333,79.33333,,0.04202,0.8403,0.2311
,2015,01I004705,01I004,WATTS HIGH SCHOOL,0,0.3,13.1203,0.18447,5.72222,,0.09709,0.7282,0.1068
,2015,01I011105,01I011,WESTVILLE ELEMENTARY,0.7009,0.93,9.8241,0.13713,646,,1.52322,0.8096,0.1146
,2015,01I011610,01I011,WESTVILLE JR HIGH SCHOOL,0,0.52,8.7109,0.08427,28.66667,172,0.6686,0.7616,0.1628
,2015,01I011705,01I011,WESTVILLE HIGH SCHOOL,0,0.57,11.8281,0.06542,47.14286,165,2.83939,0.6909,0.1424
,2015,01I025105,01I025,STILWELL ELEMENTARY,0.5916,0.605,12.1949,0.1555,415,,2.36145,0.9349,0.2506
,2015,01I025505,01I025,STILWELL MIDDLE SCHOOL,0,0.81,12.1057,0.13281,9.2,27.6,1.53986,0.7935,0.2319
,2015,01I025705,01I025,STILWELL HIGH SCHOOL,0,0.5,13.761,0.05199,167,25.69231,0.65494,0.7275,0.1901
,2015,01I030105,01I030,CAVE SPRINGS ELEMENTARY,0.6667,0.5,9.9595,0.15116,42,,32.85714,0.9643,0.2976
,2015,01I030705,01I030,CAVE SPRINGS HIGH SCHOOL,0,0.35,11.9994,0.05825,16.83333,20.2,16.83168,0.8713,0.3762
,2015,02I001105,02I001,BURLINGTON ELEMENTARY,0.2174,0.9,7.5165,0.18852,56,,0,0.4196,0.1786
,2015,02I001705,02I001,BURLINGTON HIGH SCHOOL,0,0.8,3.6409,0.10526,18,,0,0.25,0.2222
,2015,02I046105,02I046,CHEROKEE ELEMENTARY,0.4519,0.85,10.4675,0.1699,,,0.27083,0.5677,0.224
,2015,02I046510,02I046,CHEROKEE MIDDLE SCHOOL,0,0.32,7.9298,0.2,,,2.53165,0.443,0.1519
,2015,02I046705,02I046,CHEROKEE HIGH SCHOOL,0,0.27,5.9793,0.19091,24.5,,2.80612,0.3163,0.1327
