Year,CountyName,DistrictName,SchoolName,SchoolCode,IndexScore,LowGrade,HighGrade,ReportCardType,TotalBonusPoints,OverallSchoolGrade,ELA_ExamCount,ELA_GrowthIndex,Math_ExamCount,Math_GrowthIndex,Science_ExamCount,Science_GrowthIndex,SocialStudies_ExamCount,SocialStudies_GrowthIndex,Overall_ExamCount,Overall_GrowthIndex,ELA_ExamCount_bq,ELA_GrowthIndex_bq,Math_ExamCount_bq,Math_GrowthIndex_bq,OverallExamCount_bq,OverallGrowthIndex_bq,AttendenceRate,AttendenceRate_Bonus,DropOutRate_Bonus,AP_participationIndex,AP_PerformanceIndex,AP_Bonus,GradRate,GradRate_Bonus,LowPerfm_Grade8,LowPerfm_Grade8_Bonus,CollegeEntranceExam_Participation,CollegeEntranceExam_Performance,CollegeEntranceExam_Bonus,EOIPerformanceRate,EOIPerformanceRate_Bonus,AchievedGrowthTarget,AchievedGrowthTarget_Bonus
2016,CIMARRON,KEYES,KEYES HS,13I011705,48,9,12,High School,8,93,,,,,,,,,,,,,,,,,,0,0,0.05,,0,0.95,5,0,1,0.95,0.5,1,0.8,1,4,1
2016,SEMINOLE,KONAWA,KONAWA HS,67I004705,81,9,12,High School,2,74,40,85,56,80,,,,,96,82,10,70,14,57,24,63,,0,0,0.05,,0,0.95,5,0.85,1,,0.44,0,0.71,0,3,1
2016,CANADIAN,CALUMET,CALUMET HS,09I076705,85,9,12,High School,8,89,13,85,10,80,,,,,23,83,,,,,,,,0,0,0.95,0.95,1,0.95,5,0,1,0.95,0.48,1,0.89,1,5,1
2016,COMANCHE,INDIAHOMA,INDIAHOMA HS,16I002705,98,9,12,High School,9,106,13,85,15,100,,,,,28,93,,,,,,,,0,0,0.95,0.95,1,0.95,5,0,1,,0.67,0,0.83,1,5,1
2016,GRANT,POND CREEK-HUNTER,POND CREEK-HUNTER HS,27I090705,83,9,12,High School,8,83,18,78,19,95,,,,,37,86,,,,,,,,0,0,0.95,0.95,1,0.95,5,0,1,0.8,0.69,1,0.57,0,5,1
2016,KINGFISHER,CASHION,CASHION HS,37I089705,83,9,12,High School,8,88,30,90,30,83,,,,,60,87,,,,,14,57,,0,0,0.95,0.95,1,0.95,5,0.91,1,0.89,0.5,1,0.76,0,5,1
2016,KINGFISHER,OKARCHE,OKARCHE HS,37I105705,101,10,12,High School,9,99,19,100,,,,,,,19,100,,,,,,,,0,0,0.95,0.95,1,0.95,5,0,1,0.83,0.7,1,0.6,0,4,1
2016,LINCOLN,STROUD,STROUD HS,41I054705,83,9,12,High School,8,78,54,89,38,66,,,,,92,79,,,,,22,82,,0,0,0.95,0.95,1,0.95,5,0.92,1,,0.62,0,0.57,0,4,1
2016,OKLAHOMA,DEER CREEK,DEER CREEK HS,55I006705,97,9,12,High School,9,97,321,91,343,94,,,,,664,93,79,76,85,82,164,79,,0,0,0.95,0.95,1,0.95,5,0.94,1,0.95,0.82,1,0.8,1,5,1
2016,OKLAHOMA,EDMOND,NORTH HS,55I012715,97,9,12,High School,10,101,601,93,637,93,,,,,1238,93,150,81,158,80,308,80,,0,0,0.95,0.95,1,0.95,5,0.88,1,0.95,0.85,1,0.82,1,5,1
