Year,SchoolCode,DistrictCode,Site,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE
2014,05I006610,05I006,8TH & 9TH GRADE CTR,64129,45990,0.04,0.15,0.45,0.49,0.17,0.66,0.17,492,27.14,42942.12,0.074,11.4,4.21,2,3.29,4
2015,05I006610,05I006,8TH & 9TH GRADE CTR,70729.71,47634.49,0.03,0.13,0.42,0.64,0.17,0.67,0.16,464,28.81,42105.73,0.091,13.36,3.4,2,1,3
2016,05I006610,05I006,8TH & 9TH GRADE CTR,70102.92,53130.32,0.04,0.13,0.41,0.555,0.18,0.65,0.17,431,26.5,43143.03,0.137,14.5,3.9,1.87,2.6,3
2014,55I041610,55I041,9TH GRADE CENTER,42246,87051,0.08,0.24,0.45,0.89,0.1,0.71,0.19,243,12.66,42305.92,0.387,8.85,1.25,0.86,0.95,1
2015,55I041610,55I041,9TH GRADE CENTER,44586.8,93065.43,0.09,0.22,0.46,0.883,0.11,0.7,0.19,257,13.08,43221.47,0.462,10.87,1.69,0.8,0.51,1
2016,55I041610,55I041,9TH GRADE CENTER,45215.77,98680.62,0.08,0.21,0.46,0.916,0.11,0.68,0.21,249,12.68,42494.99,0.461,9.37,1.23,1,0.52,0.94
2014,72I001103,72I001,ACADEMY CENTRAL ELEMENTARY,56448,56175,0.09,0.23,0.48,1.05,0.25,0.59,0.15,356,18.95,44775.19,0.403,11.59,2.94,1,1.7,1
2015,72I001103,72I001,ACADEMY CENTRAL ELEMENTARY,57115.75,57723.51,0.09,0.23,0.49,1.159,0.26,0.59,0.15,321,18.01,45058.24,0.361,12.08,2.97,1,1.57,1
2016,72I001103,72I001,ACADEMY CENTRAL ELEMENTARY,58190.81,60320.18,0.08,0.23,0.5,0.946,0.26,0.59,0.15,276,19.05,45384.83,0.315,12.83,3,1,0.93,1
2014,70I008105,70I008,ACADEMY ELEMENTARY,66036,46084,0.08,0.1,0.3,0.82,0.17,0.52,0.32,417,26,43247.81,0.077,11.67,2.29,1,0.86,2
2015,70I008105,70I008,ACADEMY ELEMENTARY,65265.77,43693.4,0.06,0.09,0.31,0.847,0.17,0.48,0.34,405,25.96,44330.79,0.116,9.46,2.29,1,0.86,2
