,Year,CountyName,DistrictName,SchoolName,SchoolCode,IndexScore,LetterGrade,DistrictCode,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,SchoolType,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,3_Math_Advanced,3_Math_Below_Satisfactory,3_Math_Satisfactory,3_Reading_Advanced,3_Reading_Below_Satisfactory,3_Reading_Satisfactory,4_Math_Advanced,4_Math_Below_Satisfactory,4_Math_Satisfactory,4_Reading_Advanced,4_Reading_Below_Satisfactory,4_Reading_Satisfactory,5_Math_Advanced,5_Math_Below_Satisfactory,5_Math_Satisfactory,5_Reading_Advanced,5_Reading_Below_Satisfactory,5_Reading_Satisfactory,5_Science_Advanced,5_Science_Below_Satisfactory,5_Science_Satisfactory,5_SocialStudies_Advanced,5_SocialStudies_Below_Satisfactory,5_SocialStudies_Satisfactory,5_Writing_Advanced,5_Writing_Below_Satisfactory,5_Writing_Satisfactory,Performance_Multiplier,GrowthMultiplier,BottomGrowth_Multiplier,TotalBonusPoints,OveralSchoolGrade,ELA_ExamCounty,ELA_GrowthIndex,Math_ExamCounty,Math_GrowthIndex,Science_ExamCounty,Science_GrowthIndex,SocialStudies_ExamCounty,SocialStudies_GrowthIndex,Writing_ExamCounty,Writing_GrowthIndex,Overall_ExamCounty,Overall_GrowthIndex,ELA_ExamCount_bq,ELA_GrowthIndex_bq,Math_ExamCount_bq,Math_GrowthIndex_bq,OverallExamCount_bq,OverallGrowthIndex_bq,AttendenceRate,LowPerfm_Grade8,LowPerfm_Grade8_Bonus,CollegeEntranceExam_Performance,CollegeEntranceExam_Bonus,EOIPerformanceRate,EOIPerformanceRate_Bonus,AchievedGrowthTarget,AchievedGrowthTarget_Bonus,LetterGradeGroup
603,2016,ADAIR,CAVE SPRINGS,CAVE SPRINGS ES,01I030105,77.0,C+,01I030,10.839224966012369,9.289377959300843,0.07,0.22,0.3,0.9490000000000001,0.16,0.66,0.19,39.0,3.5,10.712848315582665,0.28600000000000003,12.86,0.0,0.0,0.65,0.12,Elementary School,0.0,0.8438,0.0,0.0313,0.0,0.125,0.0,32,0.0,0.43,0.57,0.0,0.14,0.86,0.2171435303844564,0.24946258784621742,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537572,0.24825590277777781,0.2532595486111111,0.4984845486111112,0.09248153446033809,0.23993931512787167,0.6675791504117902,0.12334265217391305,0.40135652173913045,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,8.0,42.0,174.299058905542,69.55071453468108,174.56395956779366,68.53677239456256,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,425.2142361111111,68.48229166666667,35.20636152055857,52.323506594259115,35.3844065166796,52.657486423584174,67.20225947521865,52.49744897959184,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
604,2016,ADAIR,WESTVILLE,WESTVILLE ES,01I011105,67.0,D+,01I011,10.777398410358959,10.012203382824769,0.09,0.24,0.37,0.823,0.13,0.64,0.22,651.0,34.67,10.661206847419388,0.289,14.16,3.0,0.5,1.33,1.0,Elementary School,0.0737,0.4962,0.0154,0.0031,0.0,0.3072,0.1045,651,0.1024,0.36,0.5376,0.0,0.27,0.73,0.0336,0.44,0.5264,0.0,0.35,0.65,0.03,0.5,0.47,0.0336,0.44,0.5264,0.0078,0.61,0.3822,0.0756,0.58,0.3444,0.03363265839320706,0.47536903984323975,0.4909983017635532,52.266435986159166,24.558823529411764,23.070934256055363,9.008996539792388,73.85640138408304,219.0,69.0,219.0,65.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,438.0,67.0,54.0,56.0,54.0,48.0,108.0,52.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
605,2016,ALFALFA,CHEROKEE,CHEROKEE ES,02I046105,85.0,B,02I046,11.277633671664809,11.333129077251535,0.05,0.17,0.36,0.57,0.25,0.64,0.11,228.0,23.72,10.701882417388681,0.163,15.93,2.0,0.52,0.29,1.71,Elementary School,0.1447,0.0219,0.0,0.0088,0.0,0.7632,0.0614,228,0.2695,0.23,0.5005,0.068,0.15,0.782,0.43,0.0,0.57,0.0651,0.07,0.8649,0.1782,0.19,0.6318,0.1023,0.07,0.8277,0.133,0.3,0.5670000000000001,0.5208,0.07,0.4092,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,84.0,58.0,86.0,58.0,78.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,116.0,82.0,14.0,79.0,14.0,50.0,28.0,64.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
606,2016,ATOKA,ATOKA,ATOKA ES,03I015120,80.0,B-,03I015,10.69679133183539,10.357424361411224,0.12,0.32,0.48,0.8590000000000001,0.14,0.66,0.2,469.0,25.18,10.687002720361079,0.318,14.1,2.0,0.0,0.2,1.0,Elementary School,0.0597,0.2772,0.0149,0.0746,0.0,0.4776,0.0959,469,0.4644,0.14,0.3956,0.0344,0.14,0.8256,0.207,0.1,0.693,0.024,0.2,0.7759999999999999,0.23399999999999999,0.22,0.546,0.1748,0.08,0.7452,0.10400000000000001,0.35,0.546,0.3895,0.05,0.5605,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,79.0,92.0,79.0,92.0,78.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,184.0,79.0,22.0,55.0,22.0,41.0,44.0,48.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
607,2016,BECKHAM,ELK CITY,FAIRVIEW ES,05I006105,75.0,C,05I006,11.157719726934033,10.880503042389396,0.04,0.13,0.41,0.667,0.18,0.65,0.17,315.0,18.0,10.628296419812754,0.278,7.39,2.0,1.0,0.0,1.0,Elementary School,0.2635,0.0381,0.0127,0.0349,0.0,0.5651,0.0857,315,0.1794,0.31,0.5106,0.0261,0.13,0.8439,0.1575,0.25,0.5925,0.0086,0.14,0.8514,0.24825590277777781,0.2532595486111111,0.4984845486111112,0.09248153446033809,0.23993931512787167,0.6675791504117902,0.12334265217391305,0.40135652173913045,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,76.0,133.0,75.0,134.0,73.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,267.0,74.0,33.0,48.0,33.0,45.0,66.0,47.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
608,2016,BECKHAM,ELK CITY,GRANDVIEW 5TH/6TH GRADE CTR,05I006115,71.0,C-,05I006,11.157719726934033,10.880503042389396,0.04,0.13,0.41,0.54,0.18,0.65,0.17,328.0,18.74,10.720355218272534,0.187,20.73,3.0,1.0,1.0,1.0,Elementary School,0.1738,0.0579,0.0152,0.0335,0.0,0.6555,0.064,328,,0.2788771358828316,0.49999267697314886,0.029019293257514213,0.20329406986190088,0.7676866368805849,0.2171435303844564,0.24946258784621742,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537572,0.231,0.23,0.539,0.0888,0.26,0.6512,0.0616,0.44,0.4984,0.22399999999999998,0.3,0.47600000000000003,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,73.0,292.0,72.0,294.0,71.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,586.0,72.0,73.0,45.0,73.0,48.0,146.0,47.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
609,2016,BECKHAM,ELK CITY,NORTHEAST ES,05I006120,75.0,C,05I006,11.157719726934033,10.880503042389396,0.04,0.13,0.41,0.6940000000000001,0.18,0.65,0.17,336.0,17.57,10.633617366693608,0.0,10.66,1.0,1.0,0.5,1.0,Elementary School,0.2857,0.0387,0.0149,0.0208,0.0,0.5774,0.0625,336,,0.2788771358828316,0.49999267697314886,0.029019293257514213,0.20329406986190088,0.7676866368805849,0.2171435303844564,0.24946258784621742,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537572,0.24825590277777781,0.2532595486111111,0.4984845486111112,0.09248153446033809,0.23993931512787167,0.6675791504117902,0.12334265217391305,0.40135652173913045,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,76.0,133.0,75.0,134.0,73.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,267.0,74.0,33.0,48.0,33.0,45.0,66.0,47.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
610,2016,BECKHAM,SAYRE,SAYRE ES,05I031105,101.0,A+,05I031,11.041383533143545,11.583217279132418,0.02,0.17,0.36,0.703,0.14,0.64,0.22,394.0,22.75,10.672528770000412,0.275,16.61,1.3,0.95,0.5,1.0,Elementary School,0.1193,0.0076,0.0025,0.0025,0.0,0.7893,0.0787,394,0.289,0.15,0.561,0.0,0.2,0.8,0.6,0.0,0.4,0.09699999999999999,0.03,0.873,0.5096,0.02,0.4704,0.18899999999999997,0.1,0.711,0.5096,0.02,0.4704,0.456,0.05,0.494,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,72.0,88.0,95.0,88.0,98.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,176.0,97.0,21.0,86.0,21.0,95.0,42.0,90.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
611,2016,BLAINE,OKEENE,OKEENE ES,06I009105,74.0,C,06I009,10.939234053600874,11.245177514436804,0.02,0.09,0.32,0.575,0.19,0.67,0.13,193.0,11.38,10.705727674578467,0.17600000000000002,17.02,0.65,0.6,0.5,1.0,Elementary School,0.2435,0.0104,0.0,0.0,0.0,0.7202,0.0259,193,0.0,0.41,0.59,0.0,0.12,0.88,0.33,0.0,0.67,0.0,0.33,0.67,0.5579999999999999,0.07,0.37200000000000005,0.0651,0.07,0.8649,0.0511,0.27,0.6789,0.264,0.2,0.536,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,78.0,66.0,62.0,67.0,85.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,133.0,74.0,16.0,31.0,16.0,56.0,32.0,44.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
612,2016,BLAINE,WATONGA,WATONGA ES,06I042105,84.0,B,06I042,10.884222613611934,10.895044556903656,0.02,0.22,0.39,0.792,0.12,0.71,0.17,423.0,24.0,10.655428267730436,0.20800000000000002,13.08,2.0,1.0,0.33,1.0,Elementary School,0.1702,0.1537,0.0024,0.0331,0.0,0.4775,0.1631,423,0.35600000000000004,0.11,0.534,0.0,0.07,0.93,0.1411,0.17,0.6889,0.0,0.24,0.76,0.29600000000000004,0.2,0.504,0.0747,0.17,0.7553,0.0882,0.37,0.5418,0.2516,0.26,0.4884,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,89.0,98.0,82.0,98.0,82.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,196.0,82.0,23.0,57.0,23.0,65.0,46.0,61.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
