Year,SchoolName,SchoolCode,SchoolType,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total
2016,"ABLE CHARTER SCHOOL 6TH-8TH",55Z005971,"Virtual Charter",0.1818,0.0909,0.0000,0.0909,0.0000,0.6364,0.0000,11
2016,"ABLE CHARTER SCHOOL 9TH-12TH",55Z005972,"Virtual Charter",0.2500,0.1136,0.0000,0.0909,0.0000,0.5455,0.0000,44
2014,"ACHILLE ES",07I003105,"Elementary School",0.0244,0.2390,0.0000,0.0049,0.0000,0.7073,0.0244,205
2015,"ACHILLE ES",07I003105,"Elementary School",0.0374,0.2570,0.0000,0.0140,0.0000,0.6729,0.0187,214
2016,"ACHILLE ES",07I003105,"Elementary School",0.0580,0.2679,0.0000,0.0134,0.0000,0.6161,0.0446,224
2014,"ACHILLE HS",07I003705,"High School",0.0206,0.2680,0.0000,0.0412,0.0000,0.6495,0.0206,97
2015,"ACHILLE HS",07I003705,"High School",0.0100,0.2200,0.0000,0.0400,0.0000,0.7000,0.0300,100
2016,"ACHILLE HS",07I003705,"High School",0.0300,0.2800,0.0000,0.0300,0.0000,0.6200,0.0400,100
2014,"ADA EC CTR",62I019105,"Elementary School",0.1316,0.3004,0.0088,0.0329,0.0000,0.3684,0.1579,456
2015,"ADA EC CTR",62I019105,"Elementary School",0.1400,0.3043,0.0081,0.0345,0.0000,0.3732,0.1400,493
2016,"ADA EC CTR",62I019105,"Elementary School",0.1667,0.2429,0.0095,0.0238,0.0000,0.3952,0.1619,420
2014,"ADA HS",62I019705,"High School",0.0643,0.3050,0.0124,0.0498,0.0021,0.5000,0.0664,482
2015,"ADA HS",62I019705,"High School",0.0868,0.3120,0.0124,0.0455,0.0000,0.4649,0.0785,484
2016,"ADA HS",62I019705,"High School",0.0882,0.3039,0.0075,0.0450,0.0019,0.4672,0.0863,533
2014,"ADA JHS",62I019610,"Middle School",0.0772,0.3339,0.0108,0.0431,0.0018,0.4381,0.0952,557
2015,"ADA JHS",62I019610,"Middle School",0.0892,0.3409,0.0105,0.0437,0.0017,0.4213,0.0927,572
2016,"ADA JHS",62I019610,"Middle School",0.1053,0.3346,0.0113,0.0470,0.0000,0.4380,0.0639,532
2014,"HAYES ES",62I019110,"Elementary School",0.1119,0.2729,0.0067,0.0291,0.0022,0.3826,0.1946,447
2015,"HAYES ES",62I019110,"Elementary School",0.1114,0.2607,0.0142,0.0237,0.0000,0.3886,0.2014,422
2016,"HAYES ES",62I019110,"Elementary School",0.1284,0.2632,0.0105,0.0274,0.0000,0.3895,0.1811,475
2014,"WASHINGTON ES",62I019125,"Elementary School",0.1087,0.2989,0.0109,0.0326,0.0027,0.4484,0.0978,368
2015,"WASHINGTON ES",62I019125,"Elementary School",0.0947,0.3079,0.0053,0.0237,0.0053,0.4289,0.1342,380
2016,"WASHINGTON ES",62I019125,"Elementary School",0.1373,0.2617,0.0052,0.0181,0.0000,0.3860,0.1917,386
2014,"WILLARD ES",62I019130,"Elementary School",0.1011,0.3298,0.0080,0.0426,0.0000,0.4734,0.0452,376
2015,"WILLARD ES",62I019130,"Elementary School",0.1082,0.2861,0.0129,0.0464,0.0000,0.4845,0.0619,388
2016,"WILLARD ES",62I019130,"Elementary School",0.1082,0.2982,0.0175,0.0292,0.0029,0.4678,0.0760,342
2014,"ADAIR HS",46I002705,"High School",0.0000,0.4203,0.0034,0.0000,0.0034,0.5695,0.0034,295
2015,"ADAIR HS",46I002705,"High School",0.0000,0.3828,0.0033,0.0066,0.0033,0.6007,0.0033,303
2016,"ADAIR HS",46I002705,"High School",0.0129,0.4469,0.0032,0.0000,0.0032,0.5273,0.0064,311
