,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory,EOI_AlgebraII_Advanced,EOI_AlgebraII_Below_Satisfactory,EOI_AlgebraII_Satisfactory,EOI_Biology_Advanced,EOI_Biology_Below_Satisfactory,EOI_Biology_Satisfactory,EOI_EnglishII_Advanced,EOI_EnglishII_Below_Satisfactory,EOI_EnglishII_Satisfactory,EOI_EnglishIII_Advanced,EOI_EnglishIII_Below_Satisfactory,EOI_EnglishIII_Satisfactory,EOI_Geometry_Advanced,EOI_Geometry_Below_Satisfactory,EOI_Geometry_Satisfactory,EOI_USHistory_Advanced,EOI_USHistory_Below_Satisfactory,EOI_USHistory_Satisfactory
0,2016,13I011705,KEYES HS,48,50941.04,170144.34,0.01,0.12,0.0,0.542,0.16,0.68,0.16,24,3.22,43198.45,0.22399999999999998,3.75,0.0,0.06,0.05,0.3,0.3333,0.0,0.0833,0.0,0.0417,0.5417,0.0,24.0,,,,0.0,0.73,0.27,,,,,,,,,,,,,,,
1,2016,67I004705,KONAWA HS,81,50305.37,64482.04,0.05,0.2,0.23,0.635,0.14,0.71,0.15,222,11.14,45510.95,0.231,19.44,0.0,0.43,0.29,1.0,0.036000000000000004,0.4414,0.0045,0.0225,0.0,0.4775,0.018000000000000002,222.0,0.042,0.4,0.5579999999999999,0.2162,0.06,0.7238,0.1343,0.21,0.6557,0.043,0.14,0.8170000000000001,0.3705,0.05,0.5795,0.306,0.15,0.544,0.1185,0.21,0.6715
2,2016,09I076705,CALUMET HS,85,85273.81,281839.77,0.06,0.13,0.33,0.611,0.18,0.7,0.12,72,5.28,45927.9,0.243,9.95,0.29,0.29,0.23,0.46,0.0694,0.1389,0.0,0.0,0.0,0.6667,0.125,72.0,0.16,0.2,0.64,0.0,0.4,0.6,0.0986,0.42,0.4814,0.15,0.0,0.85,0.33,0.0,0.67,0.3036,0.08,0.6164,0.0243,0.73,0.2457
3,2016,16I002705,INDIAHOMA HS,98,65772.66,26046.48,0.06,0.13,0.3,0.635,0.21,0.71,0.08,63,4.38,41721.44,0.33,17.33,0.5,0.5,0.53,0.5,0.1111,0.3651,0.0,0.0159,0.0,0.4921,0.0159,63.0,0.0,0.0,1.0,,,,0.06,0.4,0.54,0.2214,0.18,0.5986,,,,0.82,0.0,0.18,0.68,0.0,0.32
4,2016,27I090705,POND CREEK-HUNTER HS,83,61026.49,184139.3,0.05,0.1,0.27,0.35200000000000004,0.21,0.66,0.13,88,6.98,51046.13,0.655,15.42,0.8,0.5,0.33,1.0,0.0341,0.0568,0.0114,0.0,0.0,0.8636,0.0341,88.0,0.1476,0.18,0.6724,0.0,0.57,0.43,0.0264,0.56,0.4136,0.1539,0.19,0.6561,,,,,,,0.1062,0.41,0.4838
5,2016,37I089705,CASHION HS,83,75044.54,123601.53,0.02,0.04,0.27,0.28,0.23,0.72,0.05,150,11.2,42968.4,0.395,10.59,0.0,0.25,0.25,0.5,0.0733,0.1,0.0,0.0,0.0,0.8,0.0267,150.0,0.259,0.26,0.48100000000000004,0.142,0.29,0.568,0.0441,0.37,0.5859,0.1504,0.06,0.7896,0.0679,0.03,0.9021,0.35100000000000003,0.1,0.5489999999999999,0.0414,0.31,0.6486
6,2016,37I105705,OKARCHE HS,101,88254.26,225412.41,0.0,0.08,0.06,0.084,0.24,0.68,0.07,83,7.04,42158.47,0.142,13.82,0.0,0.43,0.29,0.4,0.0482,0.0361,0.0,0.0,0.0,0.8916,0.0241,83.0,,,,0.039,0.35,0.611,,,,0.1632,0.04,0.7968,,,,0.27,0.0,0.73,0.03,0.25,0.72
7,2016,41I054705,STROUD HS,83,55994.52,289329.88,0.09,0.14,0.31,0.433,0.11,0.72,0.17,238,16.5,46516.03,0.294,15.83,0.86,1.0,1.64,1.0,0.0042,0.1555,0.0084,0.063,0.0,0.7563,0.0126,238.0,0.0144,0.52,0.4656,,,,0.0092,0.54,0.4508,0.126,0.1,0.774,0.0498,0.17,0.7802,0.0,0.36,0.64,0.1512,0.28,0.5688
8,2016,55I006705,DEER CREEK HS,97,142656.63,66279.74,0.04,0.04,0.12,0.071,0.6,0.38,0.02,1457,61.11,44956.45,0.302,10.21,7.12,3.0,3.0,5.0,0.0638,0.0439,0.0453,0.0508,0.0021,0.7509,0.0432,1457.0,0.414,0.1,0.486,0.2976,0.07,0.6324,0.414,0.1,0.486,0.3264,0.04,0.6336,0.3936,0.04,0.5664,0.494,0.05,0.456,0.2607,0.21,0.5293
9,2016,55I012715,NORTH HS,97,101694.02,77419.43,0.03,0.08,0.22,0.179,0.52,0.44,0.04,2644,102.68,47607.43,0.37799999999999995,12.65,15.0,6.0,5.33,6.91,0.0794,0.0208,0.0393,0.055999999999999994,0.0004,0.736,0.0681,2644.0,0.368,0.08,0.552,0.4888,0.06,0.4512,0.2997,0.19,0.5103,0.3648,0.04,0.5952,0.3201,0.03,0.6499,0.5828,0.06,0.3572,0.3444,0.16,0.4956
10,2016,55I052705,CARL ALBERT HS,92,56255.19,35589.64,0.07,0.16,0.45,0.395,0.2,0.7,0.1,1074,56.3,46933.91,0.349,14.96,6.98,3.0,1.87,5.0,0.0726,0.0968,0.0149,0.2151,0.0074,0.5466,0.0466,1074.0,0.2136,0.11,0.6764,0.3854,0.06,0.5546,0.0975,0.35,0.5525,0.2842,0.02,0.6958,0.133,0.05,0.8170000000000001,0.3822,0.09,0.5278,0.28,0.2,0.52
11,2016,55I089760,NORTHEAST HS,70,53956.08,50805.13,0.08,0.28,0.47,0.762,0.22,0.55,0.23,193,15.66,58711.14,0.34299999999999997,13.46,1.05,0.5,0.69,2.0,0.0674,0.0104,0.0259,0.8238,0.0,0.0155,0.057,193.0,0.0082,0.59,0.4018,0.0,0.78,0.22,0.0,0.88,0.12,0.0204,0.32,0.6596,0.0,0.29,0.71,0.0828,0.31,0.6072,0.0,0.74,0.26
12,2016,56I005705,PRESTON HS,88,66033.33,13267.41,0.07,0.15,0.51,0.484,0.24,0.69,0.08,184,7.67,44794.84,0.5870000000000001,13.89,0.5,0.5,0.5,1.0,0.0707,0.1848,0.0,0.1196,0.0054,0.4239,0.1957,184.0,0.3916,0.11,0.4984,0.1827,0.13,0.6873,0.027000000000000003,0.55,0.423,0.1932,0.08,0.7268,0.2619,0.03,0.7081,0.5605,0.05,0.3895,0.1725,0.25,0.5775
13,2016,61I030705,SAVANNA HS,84,63587.29,28048.74,0.05,0.13,0.35,0.5579999999999999,0.18,0.71,0.11,174,11.03,47123.55,0.4,20.2,1.0,0.25,0.63,0.5,0.0057,0.4138,0.0115,0.0,0.0,0.5632,0.0057,174.0,0.332,0.17,0.498,0.204,0.15,0.6459999999999999,0.018000000000000002,0.7,0.282,0.1092,0.09,0.8008,0.22,0.0,0.78,0.1606,0.27,0.5694,0.1368,0.24,0.6232
14,2016,63I112705,ASHER HS,81,46801.36,21185.06,0.04,0.25,0.31,0.662,0.11,0.71,0.17,71,5.29,43377.86,0.297,11.68,0.5,0.5,0.0,0.5,0.0986,0.3239,0.0,0.0141,0.0,0.5634,0.0,71.0,0.23,0.0,0.77,0.73,0.0,0.27,0.0,0.6,0.4,0.0,0.25,0.75,0.2937,0.11,0.5963,0.5005,0.09,0.4095,0.0301,0.57,0.3999
15,2016,69I034705,CENTRAL HIGH HS,89,75038.83,33027.83,0.03,0.07,0.14,0.337,0.25,0.66,0.09,92,6.5,44524.17,0.385,17.3,0.33,0.33,0.33,0.5,0.0435,0.0652,0.0,0.0326,0.0,0.8370000000000001,0.0217,92.0,,,,0.1792,0.36,0.4608,0.1566,0.42,0.4234,0.1767,0.07,0.7533,0.1638,0.09,0.7462,0.3913,0.09,0.5187,0.1378,0.47,0.3922
16,2015,09I022705,PIEDMONT HS,90,102464.01,41688.55,0.04,0.04,0.11,0.228,0.43,0.52,0.05,852,40.86,42904.38,0.184,10.21,3.0,2.0,1.0,3.92,0.0775,0.1397,0.0434,0.0423,0.0,0.6972,0.0,852.0,0.1326,0.22,0.6474,0.1512,0.28,0.5688,0.1898,0.27,0.5402,0.3496,0.08,0.5704,0.1746,0.03,0.7954,0.3827,0.11,0.5073,0.3825,0.15,0.4675
17,2015,16I003705,STERLING HS,70,67784.95,25818.61,0.07,0.15,0.31,0.423,0.24,0.67,0.09,111,8.57,50891.37,0.267,22.77,0.71,0.5,0.0,1.0,0.0541,0.036000000000000004,0.0,0.0,0.0,0.8018,0.1081,111.0,0.11699999999999999,0.35,0.5329999999999999,0.13,0.35,0.52,0.04,0.5,0.46,0.068,0.15,0.782,0.39,0.0,0.61,0.1387,0.27,0.5913,0.0671,0.39,0.5429
