,Year,CountyCode,DistrictCode_x,SiteCode,SchoolCode,DistrictName,SchoolName,Overall_LetterGrade,ReportCardType,DistrictCode_y,Site,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE
183,2015,55,E004,972,55E004972,ASTEC CHARTERS,ASTEC CHARTER HS,B,High School,,,,,,,,,,,,,,,,,,,,
184,2016,55,G004,972,55G004972,ASTEC CHARTERS,ASTEC CHARTER HS,B,High School,,,,,,,,,,,,,,,,,,,,
185,2015,55,E004,971,55E004971,ASTEC CHARTERS,ASTEC CHARTER MS,D,Middle School,,,,,,,,,,,,,,,,,,,,
186,2016,55,G004,971,55G004971,ASTEC CHARTERS,ASTEC CHARTER MS,D,Middle School,,,,,,,,,,,,,,,,,,,,
298,2014,55,I088,110,55I088110,BETHANY,CHILDREN'S CTR,D,Middle School,,,,,,,,,,,,,,,,,,,,
788,2014,11,T001,971,11T001971,CHEROKEE IMMERSION CHARTER SCH,CHEROKEE IMMERSION CHARTER SCH,F,Middle School,,,,,,,,,,,,,,,,,,,,
789,2015,11,T001,971,11T001971,CHEROKEE IMMERSION CHARTER SCH,CHEROKEE IMMERSION CHARTER SCH,F,Middle School,,,,,,,,,,,,,,,,,,,,
790,2016,11,T001,971,11T001971,CHEROKEE IMMERSION CHARTER SCH,CHEROKEE IMMERSION CHARTER SCH,C,Middle School,,,,,,,,,,,,,,,,,,,,
848,2014,55,E014,985,55E014985,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,F,,,,,,,,,,,,,,,,,,,,,
849,2014,55,E014,984,55E014984,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,F,,,,,,,,,,,,,,,,,,,,,
850,2014,55,E014,986,55E014986,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,F,,,,,,,,,,,,,,,,,,,,,
851,2014,55,E014,985,55E014985,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,F,,,,,,,,,,,,,,,,,,,,,
852,2014,55,E014,984,55E014984,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,F,,,,,,,,,,,,,,,,,,,,,
853,2014,55,E014,985,55E014985,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,D,,,,,,,,,,,,,,,,,,,,,
854,2014,55,E014,986,55E014986,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,F,,,,,,,,,,,,,,,,,,,,,
855,2014,55,E014,984,55E014984,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,D,,,,,,,,,,,,,,,,,,,,,
856,2014,55,E014,985,55E014985,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,F,,,,,,,,,,,,,,,,,,,,,
857,2014,55,E014,986,55E014986,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,D,,,,,,,,,,,,,,,,,,,,,
858,2014,55,E014,984,55E014984,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,F,,,,,,,,,,,,,,,,,,,,,
859,2014,55,E014,985,55E014985,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,D,,,,,,,,,,,,,,,,,,,,,
860,2014,55,E014,986,55E014986,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,F,,,,,,,,,,,,,,,,,,,,,
861,2014,55,E014,984,55E014984,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,D,,,,,,,,,,,,,,,,,,,,,
862,2014,55,E014,985,55E014985,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,F,,,,,,,,,,,,,,,,,,,,,
863,2014,55,E014,986,55E014986,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,D,,,,,,,,,,,,,,,,,,,,,
864,2014,55,E014,984,55E014984,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,F,,,,,,,,,,,,,,,,,,,,,
865,2014,55,E014,985,55E014985,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,D,,,,,,,,,,,,,,,,,,,,,
866,2014,55,E014,986,55E014986,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,F,,,,,,,,,,,,,,,,,,,,,
867,2014,55,E014,984,55E014984,CHOCTAW-NICOMA PARK CHARTER,OKLAHOMA VIRTUAL CHARTER ACADE,D,,,,,,,,,,,,,,,,,,,,,
