,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,6_Math_Advanced,6_Math_Below_Satisfactory,6_Math_Satisfactory,6_Reading_Advanced,6_Reading_Below_Satisfactory,6_Reading_Satisfactory,7_Math_Advanced,7_Math_Below_Satisfactory,7_Math_Satisfactory,7_Reading_Advanced,7_Reading_Below_Satisfactory,7_Reading_Satisfactory,8_History_Advanced,8_History_Below_Satisfactory,8_History_Satisfactory,8_Math_Advanced,8_Math_Below_Satisfactory,8_Math_Satisfactory,8_Reading_Advanced,8_Reading_Below_Satisfactory,8_Reading_Satisfactory,8_Science_Advanced,8_Science_Below_Satisfactory,8_Science_Satisfactory,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory
622,2016,09I034510,LESLIE F ROBLYER LEARNING CTR,73,60315.5,24895.16,0.07,0.14,0.37,0.79,0.12,0.73,0.15,328,15.57,44190.47,0.233,15.57,1.58,0.0,0.56,2.17,0.2226,0.1585,0.0,0.0244,0.003,0.4878,0.1037,328.0,0.1312,0.18,0.6888,0.0158,0.21,0.7742,,,,,,,,,,,,,,,,,,,,,
696,2016,16I001530,CACHE 5TH AND 6TH GRADE MS,85,93637.81,61263.07,0.07,0.11,0.26,0.495,0.27,0.68,0.06,293,16.26,47028.78,0.341,12.96,4.23,0.01,0.59,1.06,0.1092,0.1672,0.0171,0.0887,0.0068,0.5529,0.057999999999999996,293.0,0.4074,0.03,0.5626,0.068,0.15,0.782,,,,,,,,,,,,,,,,,,,,,
1032,2016,72I011515,OWASSO 6TH GRADE CTR,87,84896.09,52132.65,0.05,0.06,0.21,0.324,0.32,0.6,0.07,746,34.29,49534.53,0.3,15.58,4.46,2.0,2.5,2.0,0.0845,0.1421,0.0228,0.0603,0.0027,0.6099,0.0777,746.0,0.4092,0.07,0.5208,0.068,0.15,0.782,,,,,,,,,,,,,,,,,,,,,
1231,2016,08I167505,FORT COBB-BROXTON MS,74,51494.01,25787.81,0.07,0.17,0.31,0.7120000000000001,0.22,0.66,0.13,73,4.1,46492.08,0.44299999999999995,24.0,0.28,0.37,1.07,0.51,0.0137,0.2329,0.0,0.0,0.0,0.6301,0.1233,73.0,0.0897,0.31,0.6003,0.1144,0.12,0.7656,0.0,0.37,0.63,0.1053,0.19,0.7047,0.0368,0.54,0.4232,0.035,0.5,0.465,0.1932,0.08,0.7268,0.1071,0.37,0.5229,0.36,0.1,0.54
1234,2016,09I022510,PIEDMONT MS,91,96974.43,43118.98,0.03,0.04,0.16,0.205,0.44,0.5,0.06,523,27.09,43513.92,0.153,11.46,3.0,1.3,1.5,2.0,0.0918,0.0956,0.0402,0.0478,0.0,0.7055,0.0191,523.0,,,,,,,0.4324,0.08,0.4876,0.2064,0.14,0.6536,0.3397,0.21,0.4503,0.534,0.11,0.35600000000000004,0.3325,0.05,0.6175,0.4002,0.13,0.4698,1.0,0.0,0.0
1235,2016,09I027520,YUKON MS,83,77882.61,42555.68,0.04,0.06,0.28,0.439,0.29,0.65,0.07,1819,84.51,45260.43,0.17600000000000002,12.16,12.0,4.0,5.0,5.0,0.1171,0.0522,0.0286,0.039,0.0022,0.7301,0.0308,1819.0,0.2378,0.18,0.5822,0.0438,0.27,0.6862,0.1782,0.19,0.6318,0.2581,0.11,0.6319,0.4067,0.17,0.4233,0.2916,0.19,0.5184,0.2024,0.12,0.6776,0.266,0.24,0.494,0.96,0.0,0.04
1236,2016,12I002605,FORT TOWSON JHS,54,45733.17,38223.7,0.1,0.26,0.35,0.889,0.14,0.71,0.15,54,5.61,41712.2,0.14,9.95,0.0,0.14,0.14,0.5,0.0,0.1667,0.0,0.037000000000000005,0.0,0.6296,0.1667,54.0,,,,,,,0.0407,0.63,0.3293,0.1088,0.32,0.5712,0.045,0.55,0.405,0.075,0.5,0.425,0.035,0.3,0.665,0.0,0.65,0.35,,,
1237,2016,14I002610,BRINK JHS,94,74645.48,45730.8,0.04,0.08,0.29,0.256,0.26,0.65,0.08,774,38.71,48063.26,0.45799999999999996,15.79,6.0,2.0,1.4,1.97,0.115,0.0439,0.1111,0.0439,0.0013,0.5155,0.1693,774.0,,,,,,,0.5376,0.04,0.4224,0.376,0.06,0.564,0.4644,0.14,0.3956,0.3182,0.14,0.5418,0.3552,0.04,0.6048,0.35200000000000004,0.12,0.528,0.92,0.0,0.08
1238,2016,14I002685,CENTRAL JHS,79,74645.48,45730.8,0.04,0.08,0.29,0.573,0.26,0.65,0.08,611,29.3,46144.36,0.218,12.32,8.41,2.0,3.0,2.0,0.1538,0.0638,0.0131,0.0786,0.0082,0.4664,0.21600000000000003,611.0,,,,,,,0.1824,0.24,0.5776,0.1659,0.21,0.6241,0.2592,0.28,0.4608,0.2002,0.23,0.5698,0.1479,0.13,0.7221,0.1728,0.28,0.5472,0.79,0.0,0.21
1239,2016,14I002650,HIGHLAND EAST JHS,84,74645.48,45730.8,0.04,0.08,0.29,0.40399999999999997,0.26,0.65,0.08,671,37.19,47142.77,0.26899999999999996,14.7,7.43,2.0,1.5,2.0,0.1118,0.0387,0.0268,0.0909,0.003,0.5559,0.1729,671.0,,,,,,,0.2214,0.18,0.5986,0.2484,0.08,0.6716,0.3388,0.23,0.4312,0.1776,0.26,0.5624,0.2184,0.09,0.6916,0.2516,0.26,0.4884,0.5684,0.02,0.4116
1240,2016,14I002680,WEST JHS,79,74645.48,45730.8,0.04,0.08,0.29,0.5820000000000001,0.26,0.65,0.08,715,33.32,45328.48,0.19899999999999998,11.4,8.04,2.0,2.0,2.0,0.2182,0.0517,0.0671,0.0965,0.0028,0.4042,0.1594,715.0,,,,,,,0.1817,0.21,0.6083,0.1476,0.18,0.6724,0.3198,0.18,0.5002,0.2054,0.21,0.5846,0.153,0.15,0.6970000000000001,0.17,0.32,0.51,0.84,0.0,0.16
1241,2016,16I004505,GERONIMO MS,86,57881.88,55082.85,0.06,0.09,0.42,0.7709999999999999,0.08,0.69,0.23,48,2.45,39068.71,0.297,7.06,0.0,0.5,0.33,0.0,0.0417,0.1458,0.0417,0.0208,0.0,0.5833,0.1667,48.0,,,,,,,0.1826,0.17,0.6474,0.0913,0.17,0.7387,0.2926,0.23,0.4774,0.33,0.0,0.67,0.0736,0.08,0.8464,0.1058,0.54,0.3542,,,
1244,2016,18I020505,BLUEJACKET MS,58,51605.0,38207.27,0.02,0.12,0.26,0.6559999999999999,0.13,0.7,0.17,61,3.78,41406.66,0.285,14.06,0.36,0.1,0.14,0.67,0.0328,0.4426,0.0,0.0,0.0,0.3934,0.1311,61.0,0.0448,0.36,0.5952,0.0,0.57,0.43,0.2926,0.23,0.4774,0.0616,0.23,0.7084,0.0282,0.53,0.4418,0.0348,0.71,0.2552,0.1056,0.12,0.7744,0.0318,0.47,0.4982,,,
1245,2016,20I099505,CLINTON MS,70,62330.6,32998.56,0.04,0.15,0.41,0.84,0.21,0.6,0.19,362,20.01,42836.56,0.28600000000000003,12.21,2.2,1.0,0.9,1.0,0.4972,0.0525,0.011000000000000001,0.0276,0.0028,0.337,0.0718,362.0,,,,,,,0.0441,0.37,0.5859,0.1406,0.26,0.5994,0.0636,0.47,0.4664,0.0585,0.35,0.5915,0.3384,0.06,0.6016,0.084,0.4,0.516,0.513,0.05,0.43700000000000006
1246,2016,20I007615,THOMAS-FAY-CUSTER UNIFIED JHS,88,67156.76,99465.11,0.01,0.19,0.2,0.505,0.25,0.63,0.12,105,6.31,50590.96,0.218,16.99,0.0,0.14,0.14,1.0,0.0762,0.1333,0.0,0.0286,0.0,0.7429,0.019,105.0,,,,,,,0.3626,0.02,0.6174,0.18600000000000003,0.07,0.7440000000000001,0.2492,0.11,0.6408,0.3042,0.22,0.4758,0.28,0.0,0.72,0.1869,0.11,0.7031,0.4418,0.06,0.4982
