,Year,CountyName,DistrictName,SchoolName,SchoolCode,IndexScore,LetterGrade,DistrictCode,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,SchoolType,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,6_Math_Below_Satisfactory,6_Math_Satisfactory,6_Reading_Advanced,6_Reading_Below_Satisfactory,6_Reading_Satisfactory,7_Geography_Advanced,7_Geography_Below_Satisfactory,7_Geography_Satisfactory,7_Math_Advanced,7_Math_Below_Satisfactory,7_Math_Satisfactory,7_Reading_Advanced,7_Reading_Below_Satisfactory,7_Reading_Satisfactory,8_History_Advanced,8_History_Below_Satisfactory,8_History_Satisfactory,8_Math_Advanced,8_Math_Below_Satisfactory,8_Math_Satisfactory,8_Reading_Advanced,8_Reading_Below_Satisfactory,8_Reading_Satisfactory,8_Science_Advanced,8_Science_Below_Satisfactory,8_Science_Satisfactory,8_Writing_Advanced,8_Writing_Below_Satisfactory,8_Writing_Satisfactory,Performance_Multiplier,GrowthMultiplier,BottomGrowth_Multiplier,TotalBonusPoints,OveralSchoolGrade,ELA_ExamCounty,ELA_GrowthIndex,Math_ExamCounty,Math_GrowthIndex,Science_ExamCounty,Science_GrowthIndex,SocialStudies_ExamCounty,SocialStudies_GrowthIndex,Writing_ExamCounty,Writing_GrowthIndex,Overall_ExamCounty,Overall_GrowthIndex,ELA_ExamCount_bq,ELA_GrowthIndex_bq,Math_ExamCount_bq,Math_GrowthIndex_bq,OverallExamCount_bq,OverallGrowthIndex_bq,AttendenceRate,DropOutRate,DropOutRate_Bonus,LowPerfm_Grade8,LowPerfm_Grade8_Bonus,CollegeEntranceExam_Performance,CollegeEntranceExam_Bonus,EOIPerformanceRate,EOIPerformanceRate_Bonus,AchievedGrowthTarget,AchievedGrowthTarget_Bonus,LetterGradeGroup
630,2016,CANADIAN,EL RENO,LESLIE F ROBLYER LEARNING CTR,09I034510,73.0,C,09I034,60315.5,24895.16,0.07,0.14,0.37,0.79,0.12,0.73,0.15,328.0,15.57,44190.47,0.233,15.57,1.58,0.0,0.56,2.17,Middle School,0.2226,0.1585,0.0,0.0244,0.003,0.4878,0.1037,0.18,0.6888,0.0158,0.21,0.7742,0.24706052631578948,0.3468947368421053,0.40604473684210524,0.16692514619883042,0.2566081871345029,0.5764666666666667,0.15476011695906436,0.19415204678362574,0.6510878362573098,0.25791007025761126,0.32063231850117097,0.4214576112412178,0.13218842975206613,0.3693388429752066,0.4984727272727273,0.14948350877192984,0.16612865497076024,0.6843878362573098,0.11582494145199063,0.40387587822014054,0.48029918032786884,0.07251798941798941,0.3367901234567901,0.5906918871252205,50.0,25.0,25.0,10.0,67.0,295.0,77.0,297.0,68.0,127.2373949579832,49.72478991596638,203.4715909090909,64.12121212121212,0.17940199335548174,1.3687707641196014,592.0,73.0,73.0,63.0,73.0,40.0,146.0,51.0,0.95,0.05024943310657597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
708,2016,COMANCHE,CACHE,CACHE 5TH AND 6TH GRADE MS,16I001530,85.0,B,16I001,93637.81,61263.07,0.07,0.11,0.26,0.495,0.27,0.68,0.06,293.0,16.26,47028.78,0.341,12.96,4.23,0.01,0.59,1.06,Middle School,0.1092,0.1672,0.0171,0.0887,0.0068,0.5529,0.058,0.03,0.5626,0.068,0.15,0.782,0.24706052631578948,0.3468947368421053,0.40604473684210524,0.16692514619883042,0.2566081871345029,0.5764666666666667,0.15476011695906436,0.19415204678362574,0.6510878362573098,0.25791007025761126,0.32063231850117097,0.4214576112412178,0.13218842975206613,0.3693388429752066,0.4984727272727273,0.14948350877192984,0.16612865497076024,0.6843878362573098,0.11582494145199063,0.40387587822014054,0.48029918032786884,0.07251798941798941,0.3367901234567901,0.5906918871252205,50.0,25.0,25.0,10.0,86.0,255.0,82.0,255.0,87.0,127.2373949579832,49.72478991596638,203.4715909090909,64.12121212121212,0.17940199335548174,1.3687707641196014,510.0,84.0,63.0,60.0,63.0,62.0,126.0,61.0,0.95,0.05024943310657597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
1074,2016,TULSA,OWASSO,OWASSO 6TH GRADE CTR,72I011515,87.0,B+,72I011,84896.09,52132.65,0.05,0.06,0.21,0.324,0.32,0.6,0.07,746.0,34.29,49534.53,0.3,15.58,4.46,2.0,2.5,2.0,Middle School,0.0845,0.1421,0.0228,0.0603,0.0027,0.6099,0.0777,0.07,0.5208,0.068,0.15,0.782,0.24706052631578948,0.3468947368421053,0.40604473684210524,0.16692514619883042,0.2566081871345029,0.5764666666666667,0.15476011695906436,0.19415204678362574,0.6510878362573098,0.25791007025761126,0.32063231850117097,0.4214576112412178,0.13218842975206613,0.3693388429752066,0.4984727272727273,0.14948350877192984,0.16612865497076024,0.6843878362573098,0.11582494145199063,0.40387587822014054,0.48029918032786884,0.07251798941798941,0.3367901234567901,0.5906918871252205,50.0,25.0,25.0,10.0,83.0,691.0,81.0,691.0,90.0,127.2373949579832,49.72478991596638,203.4715909090909,64.12121212121212,0.17940199335548174,1.3687707641196014,1382.0,85.0,172.0,48.0,172.0,67.0,344.0,57.0,0.95,0.05024943310657597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
1297,2016,CADDO,FORT COBB-BROXTON,FORT COBB-BROXTON MS,08I167505,74.0,C,08I167,51494.01,25787.81,0.07,0.17,0.31,0.7120000000000001,0.22,0.66,0.13,73.0,4.1,46492.08,0.44299999999999995,24.0,0.28,0.37,1.07,0.51,Middle School,0.0137,0.2329,0.0,0.0,0.0,0.6301,0.1233,0.31,0.6003,0.1144,0.12,0.7656,0.0494,0.62,0.3306,0.0,0.37,0.63,0.1053,0.19,0.7047,0.0368,0.54,0.4232,0.035,0.5,0.465,0.1932,0.08,0.7268,0.1071,0.37,0.5229,0.07251798941798941,0.3367901234567901,0.5906918871252205,50.0,25.0,25.0,10.0,70.0,64.0,84.0,64.0,67.0,127.2373949579832,49.72478991596638,203.4715909090909,64.12121212121212,0.17940199335548174,1.3687707641196014,128.0,76.0,15.0,67.0,15.0,53.0,30.0,60.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1300,2016,CANADIAN,PIEDMONT,PIEDMONT MS,09I022510,91.0,A-,09I022,96974.43,43118.98,0.03,0.04,0.16,0.205,0.44,0.5,0.06,523.0,27.09,43513.92,0.153,11.46,3.0,1.3,1.5,2.0,Middle School,0.0918,0.0956,0.0402,0.0478,0.0,0.7055,0.0191,0.24686541737649062,0.5801212947189097,0.06115758091993186,0.26412265758091996,0.6747197614991481,0.3397,0.21,0.4503,0.4324,0.08,0.4876,0.2064,0.14,0.6536,0.3397,0.21,0.4503,0.534,0.11,0.35600000000000004,0.3325,0.05,0.6175,0.4002,0.13,0.4698,0.07251798941798941,0.3367901234567901,0.5906918871252205,50.0,25.0,25.0,10.0,86.0,483.0,88.0,483.0,93.0,127.2373949579832,49.72478991596638,203.4715909090909,64.12121212121212,0.17940199335548174,1.3687707641196014,966.0,90.0,120.0,66.0,120.0,78.0,240.0,72.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
1301,2016,CANADIAN,YUKON,YUKON MS,09I027520,83.0,B,09I027,77882.61,42555.68,0.04,0.06,0.28,0.439,0.29,0.65,0.07,1819.0,84.51,45260.43,0.17600000000000002,12.16,12.0,4.0,5.0,5.0,Middle School,0.1171,0.0522,0.0286,0.039,0.0022,0.7301,0.0308,0.18,0.5822,0.0438,0.27,0.6862,0.5915,0.09,0.3185,0.1782,0.19,0.6318,0.2581,0.11,0.6319,0.4067,0.17,0.4233,0.2916,0.19,0.5184,0.2024,0.12,0.6776,0.266,0.24,0.494,0.07251798941798941,0.3367901234567901,0.5906918871252205,50.0,25.0,25.0,10.0,79.0,1678.0,80.0,1682.0,82.0,127.2373949579832,49.72478991596638,203.4715909090909,64.12121212121212,0.17940199335548174,1.3687707641196014,3360.0,81.0,419.0,54.0,420.0,62.0,839.0,58.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
1302,2016,CHOCTAW,FORT TOWSON,FORT TOWSON JHS,12I002605,54.0,F,12I002,45733.17,38223.7,0.1,0.26,0.35,0.889,0.14,0.71,0.15,54.0,5.61,41712.2,0.14,9.95,0.0,0.14,0.14,0.5,Middle School,0.0,0.1667,0.0,0.037,0.0,0.6296,0.1667,0.24686541737649062,0.5801212947189097,0.06115758091993186,0.26412265758091996,0.6747197614991481,0.0286,0.74,0.2314,0.0407,0.63,0.3293,0.1088,0.32,0.5712,0.045,0.55,0.405,0.075,0.5,0.425,0.035,0.3,0.665,0.0,0.65,0.35,0.07251798941798941,0.3367901234567901,0.5906918871252205,50.0,25.0,25.0,10.0,53.0,48.0,63.0,48.0,52.0,127.2373949579832,49.72478991596638,203.4715909090909,64.12121212121212,0.17940199335548174,1.3687707641196014,96.0,57.0,12.0,42.0,12.0,50.0,24.0,46.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
1303,2016,CLEVELAND,MOORE,BRINK JHS,14I002610,94.0,A,14I002,74645.48,45730.8,0.04,0.08,0.29,0.256,0.26,0.65,0.08,774.0,38.71,48063.26,0.45799999999999996,15.79,6.0,2.0,1.4,1.97,Middle School,0.115,0.0439,0.1111,0.0439,0.0013,0.5155,0.1693,0.24686541737649062,0.5801212947189097,0.06115758091993186,0.26412265758091996,0.6747197614991481,0.5607,0.11,0.3293,0.5376,0.04,0.4224,0.376,0.06,0.564,0.4644,0.14,0.3956,0.3182,0.14,0.5418,0.3552,0.04,0.6048,0.35200000000000004,0.12,0.528,0.07251798941798941,0.3367901234567901,0.5906918871252205,50.0,25.0,25.0,10.0,92.0,731.0,93.0,730.0,90.0,127.2373949579832,49.72478991596638,203.4715909090909,64.12121212121212,0.17940199335548174,1.3687707641196014,1461.0,91.0,182.0,79.0,182.0,65.0,364.0,72.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
1304,2016,CLEVELAND,MOORE,CENTRAL JHS,14I002685,79.0,C+,14I002,74645.48,45730.8,0.04,0.08,0.29,0.573,0.26,0.65,0.08,611.0,29.3,46144.36,0.218,12.32,8.41,2.0,3.0,2.0,Middle School,0.1538,0.0638,0.0131,0.0786,0.0082,0.4664,0.216,0.24686541737649062,0.5801212947189097,0.06115758091993186,0.26412265758091996,0.6747197614991481,0.315,0.25,0.435,0.1824,0.24,0.5776,0.1659,0.21,0.6241,0.2592,0.28,0.4608,0.2002,0.23,0.5698,0.1479,0.13,0.7221,0.1728,0.28,0.5472,0.07251798941798941,0.3367901234567901,0.5906918871252205,50.0,25.0,25.0,10.0,83.0,533.0,81.0,531.0,76.0,127.2373949579832,49.72478991596638,203.4715909090909,64.12121212121212,0.17940199335548174,1.3687707641196014,1064.0,79.0,132.0,55.0,132.0,52.0,264.0,54.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1305,2016,CLEVELAND,MOORE,HIGHLAND EAST JHS,14I002650,84.0,B,14I002,74645.48,45730.8,0.04,0.08,0.29,0.40399999999999997,0.26,0.65,0.08,671.0,37.19,47142.77,0.26899999999999996,14.7,7.43,2.0,1.5,2.0,Middle School,0.1118,0.0387,0.0268,0.0909,0.003,0.5559,0.1729,0.24686541737649062,0.5801212947189097,0.06115758091993186,0.26412265758091996,0.6747197614991481,0.315,0.25,0.435,0.2214,0.18,0.5986,0.2484,0.08,0.6716,0.3388,0.23,0.4312,0.1776,0.26,0.5624,0.2184,0.09,0.6916,0.2516,0.26,0.4884,0.07251798941798941,0.3367901234567901,0.5906918871252205,50.0,25.0,25.0,10.0,88.0,612.0,88.0,620.0,79.0,127.2373949579832,49.72478991596638,203.4715909090909,64.12121212121212,0.17940199335548174,1.3687707641196014,1232.0,83.0,152.0,72.0,154.0,47.0,306.0,59.0,0.95,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
