,Year,SchoolCode,SchoolName,IndexScore,LetterGrade,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total
622,2016,09I034510,LESLIE F ROBLYER LEARNING CTR,73.0,C,60315.5,24895.16,0.07,0.14,0.37,0.79,0.12,0.73,0.15,328.0,15.57,44190.47,0.233,15.57,1.58,0.0,0.56,2.17,0.2226,0.1585,0.0,0.0244,0.003,0.4878,0.1037,328.0
696,2016,16I001530,CACHE 5TH AND 6TH GRADE MS,85.0,B,93637.81,61263.07,0.07,0.11,0.26,0.495,0.27,0.68,0.06,293.0,16.26,47028.78,0.341,12.96,4.23,0.01,0.59,1.06,0.1092,0.1672,0.0171,0.0887,0.0068,0.5529,0.057999999999999996,293.0
1032,2016,72I011515,OWASSO 6TH GRADE CTR,87.0,B,84896.09,52132.65,0.05,0.06,0.21,0.324,0.32,0.6,0.07,746.0,34.29,49534.53,0.3,15.58,4.46,2.0,2.5,2.0,0.0845,0.1421,0.0228,0.0603,0.0027,0.6099,0.0777,746.0
1231,2016,08I167505,FORT COBB-BROXTON MS,74.0,C,51494.01,25787.81,0.07,0.17,0.31,0.7120000000000001,0.22,0.66,0.13,73.0,4.1,46492.08,0.44299999999999995,24.0,0.28,0.37,1.07,0.51,0.0137,0.2329,0.0,0.0,0.0,0.6301,0.1233,73.0
1234,2016,09I022510,PIEDMONT MS,91.0,A,96974.43,43118.98,0.03,0.04,0.16,0.205,0.44,0.5,0.06,523.0,27.09,43513.92,0.153,11.46,3.0,1.3,1.5,2.0,0.0918,0.0956,0.0402,0.0478,0.0,0.7055,0.0191,523.0
1235,2016,09I027520,YUKON MS,83.0,B,77882.61,42555.68,0.04,0.06,0.28,0.439,0.29,0.65,0.07,1819.0,84.51,45260.43,0.17600000000000002,12.16,12.0,4.0,5.0,5.0,0.1171,0.0522,0.0286,0.039,0.0022,0.7301,0.0308,1819.0
1236,2016,12I002605,FORT TOWSON JHS,54.0,F,45733.17,38223.7,0.1,0.26,0.35,0.889,0.14,0.71,0.15,54.0,5.61,41712.2,0.14,9.95,0.0,0.14,0.14,0.5,0.0,0.1667,0.0,0.037000000000000005,0.0,0.6296,0.1667,54.0
1237,2016,14I002610,BRINK JHS,94.0,A,74645.48,45730.8,0.04,0.08,0.29,0.256,0.26,0.65,0.08,774.0,38.71,48063.26,0.45799999999999996,15.79,6.0,2.0,1.4,1.97,0.115,0.0439,0.1111,0.0439,0.0013,0.5155,0.1693,774.0
1238,2016,14I002685,CENTRAL JHS,79.0,C,74645.48,45730.8,0.04,0.08,0.29,0.573,0.26,0.65,0.08,611.0,29.3,46144.36,0.218,12.32,8.41,2.0,3.0,2.0,0.1538,0.0638,0.0131,0.0786,0.0082,0.4664,0.21600000000000003,611.0
1239,2016,14I002650,HIGHLAND EAST JHS,84.0,B,74645.48,45730.8,0.04,0.08,0.29,0.40399999999999997,0.26,0.65,0.08,671.0,37.19,47142.77,0.26899999999999996,14.7,7.43,2.0,1.5,2.0,0.1118,0.0387,0.0268,0.0909,0.003,0.5559,0.1729,671.0
1240,2016,14I002680,WEST JHS,79.0,C,74645.48,45730.8,0.04,0.08,0.29,0.5820000000000001,0.26,0.65,0.08,715.0,33.32,45328.48,0.19899999999999998,11.4,8.04,2.0,2.0,2.0,0.2182,0.0517,0.0671,0.0965,0.0028,0.4042,0.1594,715.0
1241,2016,16I004505,GERONIMO MS,86.0,B,57881.88,55082.85,0.06,0.09,0.42,0.7709999999999999,0.08,0.69,0.23,48.0,2.45,39068.71,0.297,7.06,0.0,0.5,0.33,0.0,0.0417,0.1458,0.0417,0.0208,0.0,0.5833,0.1667,48.0
1244,2016,18I020505,BLUEJACKET MS,58.0,F,51605.0,38207.27,0.02,0.12,0.26,0.6559999999999999,0.13,0.7,0.17,61.0,3.78,41406.66,0.285,14.06,0.36,0.1,0.14,0.67,0.0328,0.4426,0.0,0.0,0.0,0.3934,0.1311,61.0
1245,2016,20I099505,CLINTON MS,70.0,C,62330.6,32998.56,0.04,0.15,0.41,0.84,0.21,0.6,0.19,362.0,20.01,42836.56,0.28600000000000003,12.21,2.2,1.0,0.9,1.0,0.4972,0.0525,0.011000000000000001,0.0276,0.0028,0.337,0.0718,362.0
1246,2016,20I007615,THOMAS-FAY-CUSTER UNIFIED JHS,88.0,B,67156.76,99465.11,0.01,0.19,0.2,0.505,0.25,0.63,0.12,105.0,6.31,50590.96,0.218,16.99,0.0,0.14,0.14,1.0,0.0762,0.1333,0.0,0.0286,0.0,0.7429,0.019,105.0
1248,2016,25I072605,ELMORE CITY JHS,80.0,B,63596.6,59418.67,0.04,0.15,0.22,0.557,0.16,0.7,0.14,61.0,5.08,44051.73,0.23,21.32,0.5,0.5,0.08,0.5,0.08199999999999999,0.0656,0.0,0.0164,0.0,0.7049,0.1311,61.0
1250,2016,27I090505,POND CREEK-HUNTER MS,69.0,D,61026.49,184139.3,0.05,0.1,0.27,0.581,0.21,0.66,0.13,105.0,5.82,47293.16,0.684,13.91,1.2,0.3,0.33,1.0,0.0667,0.0286,0.0,0.0,0.0,0.8571,0.0476,105.0
