RecordNumber,YR,SchoolCode,DistrictCode,Site,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,LanguageArts,Science,Math,SocialStudies,FineArts,Languages
,2015,01C019105,01C019,PEAVINE  ELEMENTARY,133,10.819,40057.1217,0.1797,16.8848,0.358,0.5,0.2,0.4,,,,,,
,2015,01C022105,01C022,MARYETTA ELEMENTARY,689,47.902,44596.8644,0.1855,12.6455,1.9,0.603,5.143,1.93,,,,,,
,2015,01C024105,01C024,ROCKY MOUNTAIN ELEMENTARY,181,11.571,43293.1467,0.0617,17.6053,1,0,2.329,0.286,,,,,,
,2015,01C028105,01C028,ZION ELEMENTARY,349,24.96,41431.3702,0.0797,12.2776,2,0,2.44,1.4,,,,,,
,2015,01C029105,01C029,DAHLONEGAH ELEMENTARY,127,12.5,42722.8,0.32,14.72,1,0.2,2.1,0.2,,,,,,
,2015,01C032105,01C032,GREASY ELEMENTARY,97,7.7,38747.4026,0.4935,23.6494,1,0,0.3,0.3,,,,,,
,2015,01I004105,01I004,WATTS ELEMENTARY,238,12.285,42642.1652,0.186,14.2787,1.285,0.223,0.286,1,,,,,,
,2015,01I004705,01I004,WATTS HIGH SCHOOL,103,7.143,41725.8855,0.3,8.1809,0.286,0.225,0.286,0.5,5,6,8,3,2,2
,2015,01I011105,01I011,WESTVILLE ELEMENTARY,646,39.1,41789.9744,0.2668,11.5115,3,0.167,0.333,2,,,,,,
,2015,01I011610,01I011,WESTVILLE JR HIGH SCHOOL,172,13.238,43596.6158,0.2518,13.4047,1,0.833,1.334,1,,,,,,
,2015,01I011705,01I011,WESTVILLE HIGH SCHOOL,330,24.701,42090.3202,0.1417,11.0122,1,1.004,0.999,1,8.5,12,12,10,10,2
,2015,01I025105,01I025,STILWELL ELEMENTARY,415,31.071,42196.9682,0.1793,13.8481,2.429,0.5,2.5,1,,,,,,
,2015,01I025505,01I025,STILWELL MIDDLE SCHOOL,276,18.499,44988.8102,0.2162,13.4354,3.571,1,0.5,1,,,,,,
,2015,01I025705,01I025,STILWELL HIGH SCHOOL,668,37.9,42037.2296,0.2304,11.895,5,2,1.071,2.571,11,14,10,6.5,7.5,3
,2015,01I030105,01I030,CAVE SPRINGS ELEMENTARY,84,5,42812.2,0.2,10.36,0.5,0.5,2.18,0.25,,,,,,
,2015,01I030705,01I030,CAVE SPRINGS HIGH SCHOOL,101,5.89,39426.9949,0.0357,7.1392,0.45,0.5,1.73,0.25,6,4,5,3,1,0
,2015,02I001105,02I001,BURLINGTON ELEMENTARY,112,10.398,46151.6638,0.3164,12.7763,0,0.5,0.644,0.357,,,,,,
,2015,02I001705,02I001,BURLINGTON HIGH SCHOOL,36,5.913,47312.0244,0.2029,12.205,0.509,0.5,0.643,0.357,4,4,3,4.5,6,2
,2015,02I046105,02I046,CHEROKEE ELEMENTARY,192,13.625,47578.055,0.2661,14.3303,1.625,0.491,0.875,1,,,,,,
,2015,02I046510,02I046,CHEROKEE MIDDLE SCHOOL,79,5.5,39440.5455,0.1136,13.6364,0.375,0.13,0.625,0.5,,,,,,
,2015,02I046705,02I046,CHEROKEE HIGH SCHOOL,98,7.879,51039.7259,0.2385,9.1944,0.953,0.25,1.375,0.797,6,4,6,3,4,0
,2015,02I093105,02I093,TIMBERLAKE ELEMENTARY,204,19.546,43177.3764,0.1754,19.4696,1.28,0.14,0.29,0.907,,,,,,
,2015,02I093705,02I093,TIMBERLAKE HIGH SCHOOL,77,8.757,49540.7103,0.3203,16.148,0.72,0.86,0.57,1,4,5,8,7,0,0
,2015,03C021105,03C021,HARMONY ELEMENTARY,210,13.37,44578.8332,0.2943,15.6294,1,0.065,3.839,0.226,,,,,,
,2015,03C022105,03C022,LANE ELEMENTARY,283,17.839,39605.0227,0.1041,9.7518,2.549,0,0.143,2,,,,,,
,2015,03I007105,03I007,STRINGTOWN ELEMENTARY,145,9.54,43207.1279,0.5938,13.0391,0.667,0.055,0.5,0.666,,,,,,
,2015,03I007705,03I007,STRINGTOWN HIGH SCHOOL,107,3.873,48833.4624,0.6024,13.9174,0.499,0.111,0.166,0.167,3.5,0,1.5,3,1.5,0
,2015,03I015120,03I015,ATOKA ELEMENTARY,460,25.474,42893.7348,0.28,12.0694,2,0,0.2,1,,,,,,
,2015,03I015505,03I015,McCALL MIDDLE SCHOOL,187,11.98,43298.1636,0.2396,12.5935,2,0,0.2,0.63,,,,,,
