RecordNumber,Yr,County,DistrictName,DistrictCode,DistrictPop,AvgIncome,AvgPropVal,Unemployment,Poverty,SingleParentFam,StdntOffdr,OffnsOffdr,NCNTGang,CollegeEd,HSDiploma,BelowHS,FRL
3184,2014,ADAIR,"CAVE SPRINGS",01I030,756,48771.17,11071.23,0.11,0.25,0.23,0.0,0.0,0.00,0.71,0.16,0.13,0.913
3702,2015,ADAIR,"CAVE SPRINGS",01I030,762,53657.75,11024.33,0.10,0.24,0.20,0.2,0.6,0.19,61.67,3.67,0.00,0.914
4219,2016,ADAIR,"CAVE SPRINGS",01I030,711,50981.85,10822.45,0.07,0.22,0.30,45.8,3.0,0.00,0.16,0.66,0.19,0.918
4214,2016,ADAIR,DAHLONEGAH,01C029,635,33683.52,11677.63,0.05,0.36,0.39,134.0,1.0,0.00,0.06,0.60,0.35,1.000
3179,2014,ADAIR,DAHLONEGAH,01C029,897,34492.50,10964.92,0.07,0.32,0.36,0.0,0.0,0.00,0.59,0.35,0.06,0.904
3697,2015,ADAIR,DAHLONEGAH,01C029,750,35680.53,11352.17,0.07,0.28,0.24,0.1,0.6,0.31,0.00,0.00,0.00,0.890
3698,2015,ADAIR,GREASY,01C032,885,41251.32,17811.23,0.05,0.25,0.17,0.1,0.6,0.27,0.00,0.00,0.00,0.897
4215,2016,ADAIR,GREASY,01C032,830,41452.04,18966.44,0.04,0.22,0.20,0.0,0.0,0.00,0.11,0.64,0.25,0.878
3180,2014,ADAIR,GREASY,01C032,937,42477.67,16295.12,0.03,0.20,0.10,0.0,0.0,0.00,0.66,0.24,0.09,0.980
3176,2014,ADAIR,MARYETTA,01C022,1178,41557.73,4991.74,0.03,0.30,0.44,0.0,0.0,0.00,0.69,0.15,0.16,0.774
3694,2015,ADAIR,MARYETTA,01C022,1160,47462.91,5111.43,0.03,0.27,0.46,0.2,0.7,0.14,689.00,4.00,0.00,0.775
4211,2016,ADAIR,MARYETTA,01C022,1250,46908.94,5489.73,0.05,0.26,0.42,0.0,0.0,0.00,0.19,0.67,0.14,0.780
4210,2016,ADAIR,PEAVINE,01C019,1365,46992.39,25099.78,0.03,0.21,0.27,126.0,1.0,1.00,0.14,0.66,0.20,0.905
3692,2014,ADAIR,PEAVINE,01C019,1320,45150.20,22521.19,0.02,0.27,0.25,0.0,0.0,0.00,0.66,0.18,0.15,0.932
3693,2015,ADAIR,PEAVINE,01C019,1324,47879.41,25749.73,0.01,0.26,0.29,0.2,0.7,0.16,0.00,0.00,0.00,0.902
3695,2015,ADAIR,"ROCKY MOUNTAIN",01C024,562,48796.33,7218.82,0.04,0.18,0.26,0.1,0.7,0.17,0.00,0.00,0.00,0.851
3177,2014,ADAIR,"ROCKY MOUNTAIN",01C024,605,41980.37,6655.49,0.02,0.16,0.24,0.0,0.0,0.00,0.70,0.22,0.08,0.877
4212,2016,ADAIR,"ROCKY MOUNTAIN",01C024,524,48151.92,6974.01,0.05,0.21,0.40,0.0,0.0,0.00,0.10,0.70,0.20,0.777
4218,2016,ADAIR,STILWELL,01I025,7734,38661.98,22851.38,0.09,0.31,0.38,166.0,2.8,0.00,0.13,0.66,0.20,0.895
3701,2015,ADAIR,STILWELL,01I025,7436,36671.83,21373.05,0.09,0.33,0.40,0.1,0.7,0.22,84.94,2.88,0.00,0.804
3183,2014,ADAIR,STILWELL,01I025,7135,35343.00,21321.28,0.08,0.32,0.42,234.7,2.5,0.00,0.65,0.24,0.11,0.813
3181,2014,ADAIR,WATTS,01I004,1705,42870.38,23271.83,0.14,0.24,0.44,125.0,1.7,0.00,0.73,0.20,0.07,0.811
4216,2016,ADAIR,WATTS,01I004,1576,40894.72,30905.54,0.11,0.28,0.38,312.0,2.0,0.00,0.07,0.68,0.25,0.801
3699,2015,ADAIR,WATTS,01I004,1663,45111.83,27711.47,0.10,0.23,0.36,0.1,0.7,0.22,341.00,1.00,0.00,0.807
3700,2015,ADAIR,WESTVILLE,01I011,6154,45205.70,21682.75,0.10,0.24,0.29,0.1,0.6,0.25,191.33,2.50,0.00,0.768
