Year,SchoolCode,Site,3-Math-Advanced,3-Math-Satisfactory,3-Reading-Advanced,3-Reading-Satisfactory,4-Math-Advanced,4-Math-Satisfactory,4-Reading-Advanced,4-Reading-Satisfactory,5-Math-Advanced,5-Math-Satisfactory,5-Reading-Advanced,5-Reading-Satisfactory,5-SocialStudies-Advanced,5-SocialStudies-Satisfactory,5-Science-Advanced,5-Science-Satisfactory,5-Writing-Advanced,5-Writing-Satisfactory,6-Math-Advanced,6-Math-Satisfactory,6-Reading-Advanced,6-Reading-Satisfactory,7-Math-Advanced,7-Math-Satisfactory,7-Reading-Advanced,7-Reading-Satisfactory,7-Geography-Advanced,7-Geography-Satisfactory,8-Math-Advanced,8-Math-Satisfactory,8-Reading-Advanced,8-Reading-Satisfactory,8-History-Advanced,8-History-Satisfactory,8-Science-Advanced,8-Science-Satisfactory,8-Writing-Advanced,8-Writing-Satisfactory,EOI-Algebra-Advanced,EOI-Algebra-Satisfactory,EOI-EnglishII-Advanced,EOI-EnglishII-Satisfactory,EOI-USHistory-Advanced,EOI-USHistory-Satisfactory,EOI-Biology-Advanced,EOI-Biology-Satisfactory,EOI-AlgebraII-Advanced,EOI-AlgebraII-Satisfactory,EOI-Geometry-Advanced,EOI-Geometry-Satisfactory,EOI-EnglishIII-Advanced,EOI-EnglishIII-Satisfactory
2016,01C019105,PEAVINE  ELEMENTARY,0.13,0.63,0,0.75,0,0.25,0,0.38,0.25,0.63,0.13,0.75,0.13,0.38,0.25,0.63,,,0,0.67,0,0.67,0.45,0.91,0.18,0.91,0.09,0.27,0,0.25,0.13,0.38,,,0,0.13,,,,,,,,,,,,,,,,
2016,01C022105,MARYETTA ELEMENTARY,0.54,0.92,0.04,0.96,0.31,0.94,0,0.78,0.47,0.88,0.19,0.78,0.31,0.75,0.19,0.69,,,0.33,0.89,0.08,0.72,0.43,0.86,0.21,0.81,0.19,0.62,0.04,0.76,0.24,0.83,0.29,0.79,0,0.27,,,0.29,0.94,,,,,0.04,0.41,,,,,,
2016,01C024105,ROCKY MOUNTAIN ELEMENTARY,,,,,0.5,1,0,0.9,,a,,,,,,,,,,,,,0.13,0.88,0,0.81,0.06,0.44,0.58,0.92,0.33,0.92,0.17,0.58,0.08,0.58,,,,,,,,,,,,,,,,
2016,01C028105,ZION ELEMENTARY,0.45,0.75,0.25,0.7,0.3,0.78,0.04,0.78,0.36,0.89,0.21,0.79,0.18,0.68,0.07,0.54,,,0.2,0.8,0.1,0.65,0.58,0.92,0.27,0.88,0.31,0.54,0.11,0.89,0.22,0.91,0.13,0.48,0,0.44,,,0.21,1,,,,,0.07,0.79,,,,,,
2016,01C029105,DAHLONEGAH ELEMENTARY,,,,,,,,,0.11,0.67,0.11,0.56,0.44,0.89,0,0.44,,,,,,,0,0.67,0,0.67,0,0.33,,,,,,,,,,,,,,,,,,,,,,,,
2016,01C032105,GREASY ELEMENTARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,01I004105,WATTS ELEMENTARY,0.25,0.75,0,0.83,0,0.92,0,0.33,0.1,0.6,0,0.6,0,0.3,0,0.1,,,0.25,0.75,0.08,0.75,0.26,0.58,0.11,0.58,0.05,0.16,0.25,1,0.17,1,0.08,0.5,0.17,0.83,,,,,,,,,,,,,,,,
2016,01I004705,WATTS HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.76,0,0.67,0,0.17,0.13,0.5,,,0.13,0.63,0.12,0.65
2016,01I011105,WESTVILLE ELEMENTARY,0.16,0.64,0,0.73,0.06,0.56,0,0.65,0.06,0.5,0.06,0.56,0.18,0.42,0.02,0.39,,,0.42,0.82,0.05,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,01I011610,WESTVILLE JR HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,0.16,0.79,0.09,0.79,0.22,0.55,0.25,0.8,0.19,0.84,0.13,0.53,0.18,0.71,,,0.73,1,,,,,,,,,,,,
