Year,County,DistrictCode,District,School.Name,Site.Number,School.Code,"School Type",Hispanic,"Native American",Asian,"African American","Pacific Islander",White,"Two or More Races",Total
2016,OKLAHOMA,55Z005,"ABLE CHARTER ABLE LEARNING","ABLE CHARTER SCHOOL 6TH-8TH",971,55Z005971,"Virtual Charter",2,1,0,1,0,7,0,11
2016,OKLAHOMA,55Z005,"ABLE CHARTER ABLE LEARNING","ABLE CHARTER SCHOOL 9TH-12TH",972,55Z005972,"Virtual Charter",11,5,0,4,0,24,0,44
2014,BRYAN,07I003,ACHILLE,"ACHILLE ES",105,07I003105,"Elementary School",5,49,0,1,0,145,5,205
2015,BRYAN,07I003,ACHILLE,"ACHILLE ES",105,07I003105,"Elementary School",8,55,0,3,0,144,4,214
2016,BRYAN,07I003,ACHILLE,"ACHILLE ES",105,07I003105,"Elementary School",13,60,0,3,0,138,10,224
2014,BRYAN,07I003,ACHILLE,"ACHILLE HS",705,07I003705,"High School",2,26,0,4,0,63,2,97
2015,BRYAN,07I003,ACHILLE,"ACHILLE HS",705,07I003705,"High School",1,22,0,4,0,70,3,100
2016,BRYAN,07I003,ACHILLE,"ACHILLE HS",705,07I003705,"High School",3,28,0,3,0,62,4,100
2014,PONTOTOC,62I019,ADA,"ADA EC CTR",105,62I019105,"Elementary School",60,137,4,15,0,168,72,456
2015,PONTOTOC,62I019,ADA,"ADA EC CTR",105,62I019105,"Elementary School",69,150,4,17,0,184,69,493
2016,PONTOTOC,62I019,ADA,"ADA EC CTR",105,62I019105,"Elementary School",70,102,4,10,0,166,68,420
2014,PONTOTOC,62I019,ADA,"ADA HS",705,62I019705,"High School",31,147,6,24,1,241,32,482
2015,PONTOTOC,62I019,ADA,"ADA HS",705,62I019705,"High School",42,151,6,22,0,225,38,484
2016,PONTOTOC,62I019,ADA,"ADA HS",705,62I019705,"High School",47,162,4,24,1,249,46,533
2014,PONTOTOC,62I019,ADA,"ADA JHS",610,62I019610,"Middle School",43,186,6,24,1,244,53,557
2015,PONTOTOC,62I019,ADA,"ADA JHS",610,62I019610,"Middle School",51,195,6,25,1,241,53,572
2016,PONTOTOC,62I019,ADA,"ADA JHS",610,62I019610,"Middle School",56,178,6,25,0,233,34,532
2014,PONTOTOC,62I019,ADA,"HAYES ES",110,62I019110,"Elementary School",50,122,3,13,1,171,87,447
