RecordNumber,YR,SchoolCode,DistrictCode,Site,SeniorGradRate,DropOutRate,AvgSeniorGPA,CTSeniorsOSTP,CarTechCompletion,AvgACTScore,ComplColgCourses,OutOfStateCollege,InStateCollege,CollegeFreshRemed,GPAAbove2,NatlACTaverage,SDEgroup
6444,2016,01I004705,01I004,WATTS HIGH SCHOOL,0.96,0.12,2.57,0.60,,18.07,0.80,0.04,,,,,
6445,2016,01I011705,01I011,WESTVILLE HIGH SCHOOL,1.00,0.06,2.95,0.31,,19.00,0.82,0.04,,,,,
6446,2016,01I025705,01I025,STILWELL HIGH SCHOOL,0.99,0.07,3.11,0.43,,16.64,0.88,0.01,,,,,
6447,2016,01I030705,01I030,CAVE SPRINGS HIGH SCHOOL,0.96,0.19,2.84,0.96,,16.57,1.00,0.00,,,,,
6448,2016,02I001705,02I001,BURLINGTON HIGH SCHOOL,1.00,0.00,3.81,0.78,,23.00,0.00,0.00,,,,,
6449,2016,02I046705,02I046,CHEROKEE HIGH SCHOOL,1.00,0.00,3.60,0.61,,19.41,0.97,0.00,,,,,
6450,2016,02I093705,02I093,TIMBERLAKE HIGH SCHOOL,1.00,0.00,3.24,0.76,,19.05,0.96,0.00,,,,,
6451,2016,03I007705,03I007,STRINGTOWN HIGH SCHOOL,1.00,0.00,3.20,0.36,,17.13,0.91,0.00,,,,,
6452,2016,03I015705,03I015,ATOKA HIGH SCHOOL,0.93,0.14,3.00,0.74,,18.33,0.69,0.03,,,,,
6453,2016,03I019705,03I019,TUSHKA HIGH SCHOOL,1.00,0.00,3.35,0.50,,22.03,1.00,0.00,,,,,
6454,2016,03I026705,03I026,CANEY HIGH SCHOOL,0.95,0.09,3.23,0.96,,17.32,1.00,0.00,,,,,
6455,2016,04I022705,04I022,BEAVER HIGH SCHOOL,1.00,0.00,3.07,0.30,,20.11,0.95,0.09,,,,,
6456,2016,04I075705,04I075,BALKO HIGH SCHOOL,1.00,0.00,3.80,0.56,,19.11,1.00,0.63,,,,,
6457,2016,04I123705,04I123,FORGAN HIGH SCHOOL,1.00,0.00,3.35,0.00,,21.00,1.00,0.50,,,,,
6458,2016,04I128705,04I128,TURPIN HIGH SCHOOL,0.92,0.12,3.37,0.00,,18.38,1.00,0.35,,,,,
6459,2016,05I002705,05I002,MERRITT HIGH SCHOOL,1.00,0.00,2.80,0.71,,19.61,0.61,0.00,,,,,
6460,2016,05I006705,05I006,ELK CITY HIGH SCHOOL,0.98,0.09,3.53,0.62,,19.78,0.87,0.04,,,,,
6461,2016,05I031705,05I031,SAYRE HIGH SCHOOL,0.98,0.11,3.17,0.62,,20.82,0.73,0.05,,,,,
6462,2016,05I051715,05I051,ERICK HIGH SCHOOL,1.00,0.07,2.85,0.33,,18.14,0.50,0.07,,,,,
6463,2016,06I009715,06I009,OKEENE SR HIGH SCHOOL,1.00,0.00,3.32,0.72,,21.81,0.25,0.00,,,,,
6464,2016,06I042705,06I042,WATONGA HIGH SCHOOL,1.00,0.12,3.16,0.90,,20.24,0.90,0.03,,,,,
6465,2016,06I080715,06I080,GEARY HIGH SCHOOL,0.94,0.06,2.74,0.78,,15.64,0.94,0.00,,,,,
6466,2016,06I105705,06I105,CANTON HIGH SCHOOL,0.97,0.12,3.20,1.03,,19.58,0.70,0.03,,,,,
6467,2016,07I001705,07I001,SILO HIGH SCHOOL,0.93,0.07,3.09,0.52,,19.00,0.98,0.00,,,,,
6468,2016,07I002705,07I002,ROCK CREEK HIGH SCHOOL,0.92,0.08,3.16,0.84,,18.44,0.71,0.08,,,,,
6469,2016,07I003705,07I003,ACHILLE HIGH SCHOOL,1.00,0.09,3.20,0.77,,19.25,0.85,0.05,,,,,
6470,2016,07I004715,07I004,COLBERT HIGH SCHOOL,1.00,0.00,3.00,0.82,,21.32,0.93,0.07,,,,,
6471,2016,07I005715,07I005,CADDO HIGH SCHOOL,1.00,0.00,3.13,0.73,,19.53,0.87,0.00,,,,,
6472,2016,07I040705,07I040,BENNINGTON HIGH SCHOOL,1.00,0.06,3.25,0.65,,20.00,0.81,0.06,,,,,
6473,2016,07I048705,07I048,CALERA HIGH SCHOOL,0.98,0.02,3.15,0.80,,19.28,0.88,0.05,,,,,
6474,2016,07I072705,07I072,DURANT HIGH SCHOOL,0.98,0.10,3.02,0.72,,22.49,0.93,0.05,,,,,
6475,2016,08I011715,08I011,HYDRO-EAKLY HIGH SCHOOL,1.00,0.03,3.22,0.50,,21.50,0.75,0.06,,,,,
6476,2016,08I012705,08I012,LOOKEBA-SICKLES HIGH SCHOOL,1.00,0.00,3.55,0.67,,18.19,1.00,0.05,,,,,
6477,2016,08I020705,08I020,ANADARKO HIGH SCHOOL,0.97,0.10,3.20,0.31,,18.31,0.64,0.03,,,,,
6478,2016,08I033705,08I033,CARNEGIE HIGH SCHOOL,1.00,0.03,3.09,0.45,,18.56,0.97,0.00,,,,,
6479,2016,08I056705,08I056,APACHE HIGH SCHOOL,0.92,0.08,2.80,0.86,,19.25,0.89,0.06,,,,,
6480,2016,08I064715,08I064,CYRIL HIGH SCHOOL,1.00,0.05,2.95,1.00,,18.85,0.80,0.00,,,,,
6481,2016,08I086705,08I086,GRACEMONT HIGH SCHOOL,1.00,0.00,2.98,0.38,,**,0.00,0.00,,,,,
6482,2016,08I160715,08I160,CEMENT HIGH SCHOOL,1.00,0.00,3.25,0.95,,16.06,0.09,0.00,,,,,
