RecordNumber,YR,SchoolCode,DistrictCode,Site,Avgincome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS
10668,2014,05I006610,05I006,"8TH & 9TH GRADE CTR",64129.00,45990.00,0.04,0.15,0.45,0.490,0.17,0.66,0.17
12434,2015,05I006610,05I006,"8TH & 9TH GRADE CTR",70729.71,47634.49,0.03,0.13,0.42,0.640,0.17,0.67,0.16
14197,2016,05I006610,05I006,"8TH & 9TH GRADE CTR",70102.92,53130.32,0.04,0.13,0.41,0.555,0.18,0.65,0.17
11658,2014,55I041610,55I041,"9TH GRADE CENTER",42246.00,87051.00,0.08,0.24,0.45,0.890,0.10,0.71,0.19
13427,2015,55I041610,55I041,"9TH GRADE CENTER",44586.80,93065.43,0.09,0.22,0.46,0.883,0.11,0.70,0.19
15185,2016,55I041610,55I041,"9TH GRADE CENTER",45215.77,98680.62,0.08,0.21,0.46,0.916,0.11,0.68,0.21
12142,2014,72I001103,72I001,"ACADEMY CENTRAL ELEMENTARY",56448.00,56175.00,0.09,0.23,0.48,1.050,0.25,0.59,0.15
13904,2015,72I001103,72I001,"ACADEMY CENTRAL ELEMENTARY",57115.75,57723.51,0.09,0.23,0.49,1.159,0.26,0.59,0.15
15661,2016,72I001103,72I001,"ACADEMY CENTRAL ELEMENTARY",58190.81,60320.18,0.08,0.23,0.50,0.946,0.26,0.59,0.15
12113,2014,70I008105,70I008,"ACADEMY ELEMENTARY",66036.00,46084.00,0.08,0.10,0.30,0.820,0.17,0.52,0.32
13875,2015,70I008105,70I008,"ACADEMY ELEMENTARY",65265.77,43693.40,0.06,0.09,0.31,0.847,0.17,0.48,0.34
15632,2016,70I008105,70I008,"ACADEMY ELEMENTARY",57774.88,46316.85,0.04,0.11,0.30,0.853,0.17,0.47,0.36
10691,2014,07I003105,07I003,"ACHILLE ELEMENTARY",53922.00,79152.00,0.09,0.11,0.24,0.800,0.15,0.70,0.16
12457,2015,07I003105,07I003,"ACHILLE ELEMENTARY",50408.51,96025.77,0.13,0.14,0.31,0.813,0.15,0.68,0.17
14220,2016,07I003105,07I003,"ACHILLE ELEMENTARY",53538.68,92130.70,0.12,0.13,0.28,0.799,0.15,0.70,0.15
10692,2014,07I003705,07I003,"ACHILLE HIGH SCHOOL",53922.00,79152.00,0.09,0.11,0.24,0.650,0.15,0.70,0.16
12458,2015,07I003705,07I003,"ACHILLE HIGH SCHOOL",50408.51,96025.77,0.13,0.14,0.31,0.700,0.15,0.68,0.17
14221,2016,07I003705,07I003,"ACHILLE HIGH SCHOOL",53538.68,92130.70,0.12,0.13,0.28,0.660,0.15,0.70,0.15
11929,2014,62I019105,62I019,"ADA EC CENTER",47161.00,36217.00,0.09,0.26,0.46,0.730,0.33,0.54,0.14
13691,2015,62I019105,62I019,"ADA EC CENTER",46854.09,36762.37,0.09,0.26,0.47,0.722,0.33,0.54,0.13
15448,2016,62I019105,62I019,"ADA EC CENTER",46836.28,38544.84,0.07,0.25,0.44,0.748,0.32,0.55,0.13
11934,2014,62I019705,62I019,"ADA HIGH SCHOOL",47161.00,36217.00,0.09,0.26,0.46,0.480,0.33,0.54,0.14
13696,2015,62I019705,62I019,"ADA HIGH SCHOOL",46854.09,36762.37,0.09,0.26,0.47,0.471,0.33,0.54,0.13
15453,2016,62I019705,62I019,"ADA HIGH SCHOOL",46836.28,38544.84,0.07,0.25,0.44,0.505,0.32,0.55,0.13
11933,2014,62I019610,62I019,"ADA JR HIGH SCHOOL",47161.00,36217.00,0.09,0.26,0.46,0.620,0.33,0.54,0.14
