RecordNumber,YR,SchoolCode,DistrictCode,Site,Avgincome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS
14148,2016,01C019105,01C019,PEAVINE  ELEMENTARY,46992.38683,25099.7787,0.027372263,0.210989011,0.267716535,0.9048,0.14205186,0.656144307,0.201803833
14149,2016,01C022105,01C022,MARYETTA ELEMENTARY,46908.94118,5489.7295,0.051136364,0.258219727,0.420289855,0.7797,0.190672154,0.665294925,0.144032922
14150,2016,01C024105,01C024,ROCKY MOUNTAIN ELEMENTARY,48151.92308,6974.0145,0.049586777,0.208015267,0.402985075,0.7766,0.103641457,0.700280112,0.196078431
14151,2016,01C028105,01C028,ZION ELEMENTARY,58882.35294,10179.8416,0.03649635,0.145879733,0.14084507,0.8068,0.260150376,0.606015038,0.133834586
14152,2016,01C029105,01C029,DAHLONEGAH ELEMENTARY,33683.51648,11677.6313,0.053061224,0.360576923,0.392156863,1,0.055232558,0.595930233,0.348837209
14153,2016,01C032105,01C032,GREASY ELEMENTARY,41452.04082,18966.4391,0.036809816,0.21686747,0.2,0.8778,0.112338858,0.635359116,0.252302026
14154,2016,01I004105,01I004,WATTS ELEMENTARY,40894.71947,30905.5386,0.113559322,0.282994924,0.382857143,0.8392,0.069418386,0.678236398,0.252345216
14155,2016,01I004705,01I004,WATTS HIGH SCHOOL,40894.71947,30905.5386,0.113559322,0.282994924,0.382857143,0.7345,0.069418386,0.678236398,0.252345216
14156,2016,01I011105,01I011,WESTVILLE ELEMENTARY,47925.27624,22296.9064,0.085106383,0.242861999,0.369209809,0.8233,0.133970057,0.641197728,0.224832215
14157,2016,01I011610,01I011,WESTVILLE JR HIGH SCHOOL,47925.27624,22296.9064,0.085106383,0.242861999,0.369209809,0.8068,0.133970057,0.641197728,0.224832215
14158,2016,01I011705,01I011,WESTVILLE HIGH SCHOOL,47925.27624,22296.9064,0.085106383,0.242861999,0.369209809,0.7139,0.133970057,0.641197728,0.224832215
14159,2016,01I025105,01I025,STILWELL ELEMENTARY,38661.97691,22851.3778,0.094874924,0.3135192,0.381752701,0.9659,0.134996932,0.66250767,0.202495398
14160,2016,01I025505,01I025,STILWELL MIDDLE SCHOOL,38661.97691,22851.3778,0.094874924,0.3135192,0.381752701,0.8677,0.134996932,0.66250767,0.202495398
14161,2016,01I025705,01I025,STILWELL HIGH SCHOOL,38661.97691,22851.3778,0.094874924,0.3135192,0.381752701,0.8606,0.134996932,0.66250767,0.202495398
14162,2016,01I030105,01I030,CAVE SPRINGS ELEMENTARY,50981.85328,10822.4502,0.069204152,0.216138329,0.298507463,0.9487,0.158762887,0.655670103,0.18556701
14163,2016,01I030505,01I030,CAVE SPRINGS MIDDLE SCHOOL,50981.85328,10822.4502,0.069204152,0.216138329,0.298507463,0.9189,0.158762887,0.655670103,0.18556701
14164,2016,01I030705,01I030,CAVE SPRINGS HIGH SCHOOL,50981.85328,10822.4502,0.069204152,0.216138329,0.298507463,0.9065,0.158762887,0.655670103,0.18556701
14165,2016,02I001105,02I001,BURLINGTON ELEMENTARY,123967.5926,224150.8016,0.044052863,0.070175439,0.132075472,0.4733,0.287292818,0.616022099,0.096685083
14166,2016,02I001705,02I001,BURLINGTON HIGH SCHOOL,123967.5926,224150.8016,0.044052863,0.070175439,0.132075472,0.2927,0.287292818,0.616022099,0.096685083
14167,2016,02I046105,02I046,CHEROKEE ELEMENTARY,79034.02439,83544.0276,0.048025614,0.166388425,0.355029586,0.5702,0.250906454,0.637418419,0.111675127
14168,2016,02I046510,02I046,CHEROKEE MIDDLE SCHOOL,79034.02439,83544.0276,0.048025614,0.166388425,0.355029586,0.4607,0.250906454,0.637418419,0.111675127
14169,2016,02I046705,02I046,CHEROKEE HIGH SCHOOL,79034.02439,83544.0276,0.048025614,0.166388425,0.355029586,0.4857,0.250906454,0.637418419,0.111675127
14170,2016,02I093105,02I093,TIMBERLAKE ELEMENTARY,56229.79911,134781.4924,0.032803181,0.12970297,0.300411523,0.5222,0.163043478,0.719481605,0.117474916
14171,2016,02I093705,02I093,TIMBERLAKE HIGH SCHOOL,56229.79911,134781.4924,0.032803181,0.12970297,0.300411523,0.4795,0.163043478,0.719481605,0.117474916
