Year,CountyName,DistrictName,SchoolName,DistrictCode,SchoolCode,IndexScore,LetteGrade
2016,OKLAHOMA,"ABLE CHARTER ABLE LEARNING","ABLE CHARTER SCHOOL 6TH-8TH",55Z005,55Z005971,N/A,N/
2016,OKLAHOMA,"ABLE CHARTER ABLE LEARNING","ABLE CHARTER SCHOOL 9TH-12TH",55Z005,55Z005972,N/A,N/
2013,Bryan,Achille,"Achille ES",07I003,07I003105,73,C
2014,Bryan,Achille,"Achille ES",7I003,07I003105,71,C-
2015,BRYAN,ACHILLE,"ACHILLE ES",07I003,07I003105,72,C-
2016,BRYAN,ACHILLE,"ACHILLE ES",07I003,07I003105,78,C+
2013,Bryan,Achille,"Achille HS",07I003,07I003705,96,A
2014,Bryan,Achille,"Achille HS",7I003,07I003705,92,A-
2015,BRYAN,ACHILLE,"ACHILLE HS",07I003,07I003705,91,A-
2016,BRYAN,ACHILLE,"ACHILLE HS",07I003,07I003705,91,A-
2013,Pontotoc,Ada,"Ada Ec Ctr",62I019,62I019105,71,C-
2014,Pontotoc,Ada,"Ada Ec Ctr",62I019,62I019105,79,C+
2015,PONTOTOC,ADA,"ADA EC CTR",62I019,62I019105,71,C-
2016,PONTOTOC,ADA,"ADA EC CTR",62I019,62I019105,74,C
2013,Pontotoc,Ada,"Ada HS",62I019,62I019705,85,B
2014,Pontotoc,Ada,"Ada HS",62I019,62I019705,81,B-
2015,PONTOTOC,ADA,"ADA HS",62I019,62I019705,75,C
2016,PONTOTOC,ADA,"ADA HS",62I019,62I019705,71,C-
2013,Pontotoc,Ada,"Ada JHS",62I019,62I019610,77,C+
2014,Pontotoc,Ada,"Ada JHS",62I019,62I019610,80,B-
2015,PONTOTOC,ADA,"ADA JHS",62I019,62I019610,79,C+
2016,PONTOTOC,ADA,"ADA JHS",62I019,62I019610,80,B-
2013,Pontotoc,Ada,"Hayes ES",62I019,62I019110,71,C-
2014,Pontotoc,Ada,"Hayes ES",62I019,62I019110,79,C+
2015,PONTOTOC,ADA,"HAYES ES",62I019,62I019110,71,C-
2016,PONTOTOC,ADA,"HAYES ES",62I019,62I019110,74,C
2013,Pontotoc,Ada,"Washington ES",62I019,62I019125,71,C-
2014,Pontotoc,Ada,"Washington ES",62I019,62I019125,79,C+
2015,PONTOTOC,ADA,"WASHINGTON ES",62I019,62I019125,71,C-
2016,PONTOTOC,ADA,"WASHINGTON ES",62I019,62I019125,74,C
