Record Number,Year,County,District,District Code,Population,Avg. Household Income,Avg. Property Valuation / ADM,Unemployment %,Poverty %,Single-Parent Family %,Student/Offender,Offense/Offender,NCNT in Gang,H.S. Diploma w/o College Degree,Less than 12th Grade,College Degree or Above,Free Reduced Lunch %
3175,2014,ADAIR,PEAVINE,01C019,"1,320"," 45,150.20 "," 22,521.19 ", 0.02 , 0.27 , 0.25 ,,0.0,0.0, 0.66 , 0.18 , 0.15 , 0.93 
3176,2014,ADAIR,MARYETTA,01C022,"1,178"," 41,557.73 "," 4,991.74 ", 0.03 , 0.30 , 0.44 ,,0.0,0.0, 0.69 , 0.15 , 0.16 , 0.77 
3177,2014,ADAIR,ROCKY MOUNTAIN,01C024,605," 41,980.37 "," 6,655.49 ", 0.02 , 0.16 , 0.24 ,,0.0,0.0, 0.70 , 0.22 , 0.08 , 0.88 
3178,2014,ADAIR,ZION,01C028,"1,007"," 47,023.91 "," 10,541.52 ", 0.08 , 0.22 , 0.17 ,,0.0,0.0, 0.74 , 0.09 , 0.17 , 0.80 
3179,2014,ADAIR,DAHLONEGAH,01C029,897," 34,492.50 "," 10,964.92 ", 0.07 , 0.32 , 0.36 ,,0.0,0.0, 0.59 , 0.35 , 0.06 , 0.90 
3180,2014,ADAIR,GREASY,01C032,937," 42,477.67 "," 16,295.12 ", 0.03 , 0.20 , 0.10 ,,0.0,0.0, 0.66 , 0.24 , 0.09 , 0.98 
3181,2014,ADAIR,WATTS,01I004,"1,705"," 42,870.38 "," 23,271.83 ", 0.14 , 0.24 , 0.44 ,125.0,1.7,0.0, 0.73 , 0.20 , 0.07 , 0.81 
3182,2014,ADAIR,WESTVILLE,01I011,"6,152"," 43,749.16 "," 21,219.02 ", 0.10 , 0.23 , 0.33 ,232.2,1.0,0.0, 0.58 , 0.27 , 0.15 , 0.79 
3183,2014,ADAIR,STILWELL,01I025,"7,135"," 35,343.00 "," 21,321.28 ", 0.08 , 0.32 , 0.42 ,234.7,2.5,0.0, 0.65 , 0.24 , 0.11 , 0.81 
3184,2014,ADAIR,CAVE SPRINGS,01I030,756," 48,771.17 "," 11,071.23 ", 0.11 , 0.25 , 0.23 ,,0.0,0.0, 0.71 , 0.16 , 0.13 , 0.91 
3185,2014,ALFALFA,BURLINGTON,02I001,570," 77,966.83 "," 269,279.60 ", 0.03 , 0.19 , 0.20 ,,0.0,0.0, 0.67 , 0.09 , 0.24 , 0.44 
