Record Number,Year,County,District,District Code,Population,Avg. Household Income,Avg. Property Valuation / ADM,Unemployment %,Poverty %,Single-Parent Family %,Student/Offender,Offense/Offender,NCNT in Gang,H.S. Diploma w/o College Degree,Less than 12th Grade,College Degree or Above,Free Reduced Lunch %
4210,2016,ADAIR,PEAVINE,01C019,1365,46992.38683,25099.7787,0.027372263,0.210989011,0.267716535,126,1,1,0.14205186,0.656144307,0.201803833,0.9048
4211,2016,ADAIR,MARYETTA,01C022,1250,46908.94118,5489.7295,0.051136364,0.258219727,0.420289855,,0,0,0.190672154,0.665294925,0.144032922,0.7797
4212,2016,ADAIR,ROCKY MOUNTAIN,01C024,524,48151.92308,6974.0145,0.049586777,0.208015267,0.402985075,,0,0,0.103641457,0.700280112,0.196078431,0.7766
4213,2016,ADAIR,ZION,01C028,898,58882.35294,10179.8416,0.03649635,0.145879733,0.14084507,,0,0,0.260150376,0.606015038,0.133834586,0.8068
4214,2016,ADAIR,DAHLONEGAH,01C029,635,33683.51648,11677.6313,0.053061224,0.360576923,0.392156863,134,1,0,0.055232558,0.595930233,0.348837209,1
4215,2016,ADAIR,GREASY,01C032,830,41452.04082,18966.4391,0.036809816,0.21686747,0.2,,0,0,0.112338858,0.635359116,0.252302026,0.8778
4216,2016,ADAIR,WATTS,01I004,1576,40894.71947,30905.5386,0.113559322,0.282994924,0.382857143,312,2,0,0.069418386,0.678236398,0.252345216,0.8013
4217,2016,ADAIR,WESTVILLE,01I011,6036,47925.27624,22296.9064,0.085106383,0.242861999,0.369209809,193.1666667,2.166666667,0,0.133970057,0.641197728,0.224832215,0.7895
4218,2016,ADAIR,STILWELL,01I025,7734,38661.97691,22851.3778,0.094874924,0.3135192,0.381752701,166,2.75,0,0.134996932,0.66250767,0.202495398,0.8946
4219,2016,ADAIR,CAVE SPRINGS,01I030,711,50981.85328,10822.4502,0.069204152,0.216138329,0.298507463,45.75,3,0,0.158762887,0.655670103,0.18556701,0.918
4220,2016,ALFALFA,BURLINGTON,02I001,513,123967.5926,224150.8016,0.044052863,0.070175439,0.132075472,,0,0,0.287292818,0.616022099,0.096685083,0.4302
4221,2016,ALFALFA,CHEROKEE,02I046,1861,79034.02439,83544.0276,0.048025614,0.166388425,0.355029586,422,1,0,0.250906454,0.637418419,0.111675127,0.5261
4222,2016,ALFALFA,TIMBERLAKE,02I093,3015,56229.79911,134781.4924,0.032803181,0.12970297,0.300411523,92,4.666666667,0,0.163043478,0.719481605,0.117474916,0.5109
