RecordNumber,Year,CountyCode,DistrictCode,SiteCode,SchoolCode,DistrictName,SchoolName,ELA_ExamCount,ELA_GrowthIndex,ELA_LetterGrade,Math_ExamCount,Math_GrowthIndex,Math_LetterGrade,OverallExamCount,OverallGrowthIndex,OverallLetterGrade
4771,2016,55,Z005,971,55Z005971,"ABLE CHARTER ABLE LEARNING","ABLE CHARTER SCHOOL 6TH-8TH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL"
4772,2016,55,Z005,972,55Z005972,"ABLE CHARTER ABLE LEARNING","ABLE CHARTER SCHOOL 9TH-12TH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL"
1865,2014,7,I003,105,07I003105,Achille,"Achille ES",21,43,"F    ",20,35,"F    ",41,39,"F    "
72,2015,7,I003,105,07I003105,ACHILLE,"ACHILLE ES",23,61,"D    ",23,43,"F    ",46,52,"F    "
3659,2016,7,I003,105,07I003105,ACHILLE,"ACHILLE ES",25,56,"F    ",25,68,"D    ",50,62,"D    "
1866,2014,7,I003,705,07I003705,Achille,"Achille HS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL"
73,2015,7,I003,705,07I003705,ACHILLE,"ACHILLE HS",,,,,,,,,""
3660,2016,7,I003,705,07I003705,ACHILLE,"ACHILLE HS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL"
3124,2014,62,I019,105,62I019105,Ada,"Ada Ec Ctr",37,62,"D    ",39,64,"D    ",76,63,"D    "
1331,2015,62,I019,105,62I019105,ADA,"ADA EC CTR",39,51,"F    ",39,26,"F    ",78,38,"F    "
4918,2016,62,I019,105,62I019105,ADA,"ADA EC CTR",45,36,"F    ",45,49,"F    ",90,42,"F    "
3129,2014,62,I019,705,62I019705,Ada,"Ada HS",31,81,"B    ",NULL,NULL,NULL,31,81,"B    "
1336,2015,62,I019,705,62I019705,ADA,"ADA HS",36,69,"D    ",N/A,N/A,N/A,36,69,"D    "
4923,2016,62,I019,705,62I019705,ADA,"ADA HS",NULL,NULL,"F    ",NULL,NULL,NULL,47,55,"F    "
3128,2014,62,I019,610,62I019610,Ada,"Ada JHS",82,59,"F    ",110,70,"C    ",192,65,"D    "
1335,2015,62,I019,610,62I019610,ADA,"ADA JHS",76,50,"F    ",119,60,"D    ",195,56,"F    "
4922,2016,62,I019,610,62I019610,ADA,"ADA JHS",81,53,"F    ",116,60,"D    ",197,57,"F    "
3125,2014,62,I019,110,62I019110,Ada,"Hayes ES",37,62,"D    ",39,64,"D    ",76,63,"D    "
1332,2015,62,I019,110,62I019110,ADA,"HAYES ES",39,51,"F    ",39,26,"F    ",78,38,"F    "
4919,2016,62,I019,110,62I019110,ADA,"HAYES ES",45,36,"F    ",45,49,"F    ",90,42,"F    "
3126,2014,62,I019,125,62I019125,Ada,"Washington ES",37,62,"D    ",39,64,"D    ",76,63,"D    "
1333,2015,62,I019,125,62I019125,ADA,"WASHINGTON ES",39,51,"F    ",39,26,"F    ",78,38,"F    "
4920,2016,62,I019,125,62I019125,ADA,"WASHINGTON ES",45,36,"F    ",45,49,"F    ",90,42,"F    "
3127,2014,62,I019,130,62I019130,Ada,"Willard ES",76,50,"F    ",77,36,"F    ",153,43,"F    "
1334,2015,62,I019,130,62I019130,ADA,"WILLARD ES",88,50,"F    ",87,57,"F    ",175,54,"F    "
4921,2016,62,I019,130,62I019130,ADA,"WILLARD ES",72,54,"F    ",72,50,"F    ",144,52,"F    "
2593,2014,46,I002,705,46I002705,Adair,"Adair HS",14,100,"A    ",17,100,"A    ",31,100,"A    "
803,2015,46,I002,705,46I002705,ADAIR,"ADAIR HS",16,75,"C    ",15,100,"A    ",31,87,"B    "
4389,2016,46,I002,705,46I002705,ADAIR,"ADAIR HS",16,25,"F    ",16,81,"B    ",32,53,"F    "
2592,2014,46,I002,505,46I002505,Adair,"Adair MS",44,52,"F    ",44,73,"C    ",88,63,"D    "
802,2015,46,I002,505,46I002505,ADAIR,"ADAIR MS",48,50,"F    ",48,33,"F    ",96,42,"F    "
4388,2016,46,I002,505,46I002505,ADAIR,"ADAIR MS",43,65,"D    ",43,40,"F    ",86,52,"F    "
2591,2014,46,I002,105,46I002105,Adair,"Bernita Hughes ES",27,63,"D    ",27,81,"B    ",54,72,"C    "
801,2015,46,I002,105,46I002105,ADAIR,"BERNITA HUGHES ES",34,47,"F    ",34,59,"F    ",68,53,"F    "
4387,2016,46,I002,105,46I002105,ADAIR,"BERNITA HUGHES ES",33,88,"B    ",33,91,"A    ",66,89,"B    "
3041,2014,58,I026,105,58I026105,Afton,"Afton ES",40,45,"F    ",41,59,"F    ",81,52,"F    "
