,Year,CountyName,DistrictName,SchoolName,DistrictCode,SchoolCode,IndexScore,LetterGrade
2,2013,BRYAN,ACHILLE,ACHILLE ES,07I003,07I003105,73.0,C
3,2014,BRYAN,ACHILLE,ACHILLE ES,7I003,07I003105,71.0,C-
4,2015,BRYAN,ACHILLE,ACHILLE ES,07I003,07I003105,72.0,C-
5,2016,BRYAN,ACHILLE,ACHILLE ES,07I003,07I003105,78.0,C+
6,2013,BRYAN,ACHILLE,ACHILLE HS,07I003,07I003705,96.0,A
7,2014,BRYAN,ACHILLE,ACHILLE HS,7I003,07I003705,92.0,A-
8,2015,BRYAN,ACHILLE,ACHILLE HS,07I003,07I003705,91.0,A-
9,2016,BRYAN,ACHILLE,ACHILLE HS,07I003,07I003705,91.0,A-
10,2013,PONTOTOC,ADA,ADA EC CTR,62I019,62I019105,71.0,C-
11,2014,PONTOTOC,ADA,ADA EC CTR,62I019,62I019105,79.0,C+
12,2015,PONTOTOC,ADA,ADA EC CTR,62I019,62I019105,71.0,C-
13,2016,PONTOTOC,ADA,ADA EC CTR,62I019,62I019105,74.0,C
14,2013,PONTOTOC,ADA,ADA HS,62I019,62I019705,85.0,B
15,2014,PONTOTOC,ADA,ADA HS,62I019,62I019705,81.0,B-
16,2015,PONTOTOC,ADA,ADA HS,62I019,62I019705,75.0,C
17,2016,PONTOTOC,ADA,ADA HS,62I019,62I019705,71.0,C-
18,2013,PONTOTOC,ADA,ADA JHS,62I019,62I019610,77.0,C+
19,2014,PONTOTOC,ADA,ADA JHS,62I019,62I019610,80.0,B-
20,2015,PONTOTOC,ADA,ADA JHS,62I019,62I019610,79.0,C+
21,2016,PONTOTOC,ADA,ADA JHS,62I019,62I019610,80.0,B-
22,2013,PONTOTOC,ADA,HAYES ES,62I019,62I019110,71.0,C-
23,2014,PONTOTOC,ADA,HAYES ES,62I019,62I019110,79.0,C+
24,2015,PONTOTOC,ADA,HAYES ES,62I019,62I019110,71.0,C-
25,2016,PONTOTOC,ADA,HAYES ES,62I019,62I019110,74.0,C
26,2013,PONTOTOC,ADA,WASHINGTON ES,62I019,62I019125,71.0,C-
27,2014,PONTOTOC,ADA,WASHINGTON ES,62I019,62I019125,79.0,C+
28,2015,PONTOTOC,ADA,WASHINGTON ES,62I019,62I019125,71.0,C-
29,2016,PONTOTOC,ADA,WASHINGTON ES,62I019,62I019125,74.0,C
30,2013,PONTOTOC,ADA,WILLARD ES,62I019,62I019130,78.0,C+
31,2014,PONTOTOC,ADA,WILLARD ES,62I019,62I019130,74.0,C
32,2015,PONTOTOC,ADA,WILLARD ES,62I019,62I019130,78.0,C+
33,2016,PONTOTOC,ADA,WILLARD ES,62I019,62I019130,76.0,C
34,2013,MAYES,ADAIR,ADAIR HS,46I002,46I002705,103.0,A+
35,2014,MAYES,ADAIR,ADAIR HS,46I002,46I002705,104.0,A+
36,2015,MAYES,ADAIR,ADAIR HS,46I002,46I002705,99.0,A+
37,2016,MAYES,ADAIR,ADAIR HS,46I002,46I002705,85.0,B
38,2013,MAYES,ADAIR,ADAIR MS,46I002,46I002505,84.0,B
39,2014,MAYES,ADAIR,ADAIR MS,46I002,46I002505,84.0,B
40,2015,MAYES,ADAIR,ADAIR MS,46I002,46I002505,75.0,C
41,2016,MAYES,ADAIR,ADAIR MS,46I002,46I002505,79.0,C+
42,2013,MAYES,ADAIR,BERNITA HUGHES ES,46I002,46I002105,92.0,A-
43,2014,MAYES,ADAIR,BERNITA HUGHES ES,46I002,46I002105,92.0,A-
44,2015,MAYES,ADAIR,BERNITA HUGHES ES,46I002,46I002105,86.0,B
45,2016,MAYES,ADAIR,BERNITA HUGHES ES,46I002,46I002105,103.0,A+
46,2013,OTTAWA,AFTON,AFTON ES,58I026,58I026105,75.0,C
47,2014,OTTAWA,AFTON,AFTON ES,58I026,58I026105,69.0,D+
48,2015,OTTAWA,AFTON,AFTON ES,58I026,58I026105,67.0,D+
49,2016,OTTAWA,AFTON,AFTON ES,58I026,58I026105,82.0,B-
50,2013,OTTAWA,AFTON,AFTON HS,58I026,58I026705,89.0,B+
51,2014,OTTAWA,AFTON,AFTON HS,58I026,58I026705,69.0,D+
52,2015,OTTAWA,AFTON,AFTON HS,58I026,58I026705,92.0,A-
53,2016,OTTAWA,AFTON,AFTON HS,58I026,58I026705,76.0,C
54,2013,LINCOLN,AGRA,AGRA ES,41I134,41I134105,62.0,D-
55,2014,LINCOLN,AGRA,AGRA ES,41I134,41I134105,64.0,D
56,2015,LINCOLN,AGRA,AGRA ES,41I134,41I134105,63.0,D
57,2016,LINCOLN,AGRA,AGRA ES,41I134,41I134105,61.0,D-
58,2013,LINCOLN,AGRA,AGRA HS,41I134,41I134705,86.0,B
59,2014,LINCOLN,AGRA,AGRA HS,41I134,41I134705,96.0,A
60,2015,LINCOLN,AGRA,AGRA HS,41I134,41I134705,84.0,B
61,2016,LINCOLN,AGRA,AGRA HS,41I134,41I134705,72.0,C-
62,2013,PUSHMATAHA,ALBION,ALBION PUBLIC SCHOOL,64C002,64C002105,51.0,F
63,2014,PUSHMATAHA,ALBION,ALBION PUBLIC SCHOOL,64C002,64C002105,52.0,F
64,2015,PUSHMATAHA,ALBION,ALBION PUBLIC SCHOOL,64C002,64C002105,43.0,F
65,2016,PUSHMATAHA,ALBION,ALBION PUBLIC SCHOOL,64C002,64C002105,72.0,C-
66,2013,GRADY,ALEX,ALEX ES,26I056,26I056105,70.0,C-
67,2014,GRADY,ALEX,ALEX ES,26I056,26I056105,70.0,C-
68,2015,GRADY,ALEX,ALEX ES,26I056,26I056105,79.0,C+
