RecordNumber,County,District,School,lat,lon
1,ADAIR,PEAVINE,PEAVINE PUBLIC SCHOOL,35.813812,-94.6289306
2,ADAIR,MARYETTA,MARYETTA PUBLIC SCHOOL,35.81453,-94.6285553
3,ADAIR,ROCKY MOUNTAIN,ROCKY MOUNTAIN PUBLIC SCHOOL,35.7986941,-94.6232231
4,ADAIR,ZION,ZION PUBLIC SCHOOL,35.813812,-94.6289306
5,ADAIR,DAHLONEGAH,DAHLONEGAH PUBLIC SCHOOL,35.7481471,-94.6700531
6,ADAIR,GREASY,GREASY PUBLIC SCHOOL,35.7073567,-94.7579554
7,ADAIR,WATTS,WATTS ES,36.1101957,-94.5702166
8,ADAIR,WATTS,WATTS HS,36.1101957,-94.5702166
9,ADAIR,WESTVILLE,WESTVILLE ES,35.9919798,-94.5685308
10,ADAIR,WESTVILLE,WESTVILLE JHS,35.9919798,-94.5685308
11,ADAIR,WESTVILLE,WESTVILLE HS,35.9919798,-94.5685308
12,ADAIR,STILWELL,STILWELL ES,35.8150794,-94.6331816
13,ADAIR,STILWELL,STILWELL MS,35.8153684,-94.6332928
14,ADAIR,STILWELL,STILWELL HS,35.8085213,-94.644911
15,ADAIR,CAVE SPRINGS,CAVE SPRINGS ES,35.681032,-94.760477
16,ADAIR,CAVE SPRINGS,CAVE SPRINGS MS,35.681032,-94.760477
17,ADAIR,CAVE SPRINGS,CAVE SPRINGS HS,35.681032,-94.760477
18,ALFALFA,BURLINGTON,BURLINGTON ES,36.9000283,-98.4228526
19,ALFALFA,BURLINGTON,BURLINGTON HS,36.9000283,-98.4228526
20,ALFALFA,CHEROKEE,CHEROKEE ES,36.7517219,-98.348861
21,ALFALFA,CHEROKEE,CHEROKEE MS,36.7530347,-98.3527078
22,ALFALFA,CHEROKEE,CHEROKEE HS,36.7530347,-98.3527078
23,ALFALFA,TIMBERLAKE,TIMBERLAKE ES,36.6661416,-98.1811787
24,ALFALFA,TIMBERLAKE,TIMBERLAKE HS,36.5461432,-98.2700706
25,ATOKA,HARMONY,HARMONY PUBLIC SCHOOL,34.2646785,-96.0754681
26,ATOKA,LANE,LANE PUBLIC SCHOOL,34.30172,-95.9884072
27,ATOKA,STRINGTOWN,STRINGTOWN ES,34.4685673,-96.0525341
28,ATOKA,STRINGTOWN,STRINGTOWN HS,34.4685673,-96.0525341
29,ATOKA,ATOKA,ATOKA ES,34.3853336,-96.1239917
30,ATOKA,ATOKA,ATOKA ES,34.3853336,-96.1239917
31,ATOKA,ATOKA,ATOKA HS,34.3853336,-96.1239917
32,ATOKA,TUSHKA,TUSHKA ES,34.310159,-96.2761296
33,ATOKA,TUSHKA,TUSHKA HS,34.310159,-96.2761296
34,ATOKA,CANEY,CANEY ES,34.198142,-96.1739116
35,ATOKA,CANEY,CANEY HS,34.198142,-96.1739116
36,BEAVER,BEAVER,BEAVER ES,36.816399,-100.5187621
37,BEAVER,BEAVER,BEAVER HS,36.816399,-100.5187621
38,BEAVER,BALKO,BALKO ES,36.6174206,-100.7311006
39,BEAVER,BALKO,BALKO HS,36.6174206,-100.7311006
40,BEAVER,FORGAN,FORGAN ES,36.9062641,-100.535493
41,BEAVER,FORGAN,FORGAN HS,36.9062641,-100.535493
42,BEAVER,TURPIN,TURPIN ES,36.8675256,-100.8773837
43,BEAVER,TURPIN,TURPIN HS,36.8675256,-100.8773837
44,BECKHAM,MERRITT,MERRITT ES,35.3789208,-99.471674
45,BECKHAM,MERRITT,MERRITT HS,35.3789208,-99.471674
46,BECKHAM,ELK CITY,ELK CITY IES,35.410413,-99.4072514
47,BECKHAM,ELK CITY,ELK CITY ES,35.410413,-99.4072514
48,BECKHAM,ELK CITY,ELK CITY MS,35.410413,-99.4072514
49,BECKHAM,ELK CITY,ELK CITY HS,35.410413,-99.4072514
50,BECKHAM,SAYRE,SAYRE ES,35.3100876,-99.6299773
51,BECKHAM,SAYRE,SAYRE MS,35.3100876,-99.6299773
52,BECKHAM,SAYRE,SAYRE HS,35.3100876,-99.6299773
53,BECKHAM,ERICK,ERICK ES,35.2140903,-99.8676807
54,BECKHAM,ERICK,ERICK HS,35.2140903,-99.8676807
