DistrictName,SchoolName,CountyCode,DistrictKey,SiteCode,FullCode
PEAVINE,PEAVINE PUBLIC SCHOOL,1,C019,105,01C019105
MARYETTA,MARYETTA PUBLIC SCHOOL,1,C022,105,01C022105
ROCKY MOUNTAIN,ROCKY MOUNTAIN PUBLIC SCHOOL,1,C024,105,01C024105
ZION,ZION PUBLIC SCHOOL,1,C028,105,01C028105
DAHLONEGAH,DAHLONEGAH PUBLIC SCHOOL,1,C029,105,01C029105
GREASY,GREASY PUBLIC SCHOOL,1,C032,105,01C032105
WATTS,WATTS ES,1,I004,105,01I004105
WATTS,WATTS HS,1,I004,705,01I004705
WESTVILLE,WESTVILLE ES,1,I011,105,01I011105
Westville,Westville Skelly ES,1,I011,205,01I011205
WESTVILLE,WESTVILLE JHS,1,I011,610,01I011610
WESTVILLE,WESTVILLE HS,1,I011,705,01I011705
STILWELL,STILWELL ES,1,I025,105,01I025105
STILWELL,STILWELL MS,1,I025,505,01I025505
STILWELL,STILWELL HS,1,I025,705,01I025705
CAVE SPRINGS,CAVE SPRINGS ES,1,I030,105,01I030105
CAVE SPRINGS,CAVE SPRINGS MS,1,I030,505,01I030505
CAVE SPRINGS,CAVE SPRINGS HS,1,I030,705,01I030705
BURLINGTON,BURLINGTON ES,2,I001,105,02I001105
BURLINGTON,BURLINGTON HS,2,I001,705,02I001705
CHEROKEE,CHEROKEE ES,2,I046,105,02I046105
CHEROKEE,CHEROKEE MS,2,I046,510,02I046510
CHEROKEE,CHEROKEE HS,2,I046,705,02I046705
TIMBERLAKE,TIMBERLAKE ES,2,I093,105,02I093105
TIMBERLAKE,TIMBERLAKE HS,2,I093,705,02I093705
HARMONY,HARMONY PUBLIC SCHOOL,3,C021,105,03C021105
LANE,LANE PUBLIC SCHOOL,3,C022,105,03C022105
STRINGTOWN,STRINGTOWN ES,3,I007,105,03I007105
STRINGTOWN,STRINGTOWN HS,3,I007,705,03I007705
ATOKA,ATOKA ES,3,I015,120,03I015120
ATOKA,MCCALL MS,3,I015,505,03I015505
ATOKA,ATOKA HS,3,I015,705,03I015705
TUSHKA,TUSHKA ES,3,I019,105,03I019105
TUSHKA,TUSHKA HS,3,I019,705,03I019705
CANEY,CANEY ES,3,I026,105,03I026105
CANEY,CANEY HS,3,I026,705,03I026705
BEAVER,BEAVER ES,4,I022,105,04I022105
BEAVER,BEAVER HS,4,I022,705,04I022705
BALKO,BALKO ES,4,I075,105,04I075105
BALKO,BALKO HS,4,I075,705,04I075705
FORGAN,FORGAN ES,4,I123,105,04I123105
FORGAN,FORGAN HS,4,I123,705,04I123705
TURPIN,TURPIN ES,4,I128,105,04I128105
TURPIN,TURPIN HS,4,I128,705,04I128705
MERRITT,MERRITT ES,5,I002,105,05I002105
MERRITT,MERRITT HS,5,I002,705,05I002705
ELK CITY,FAIRVIEW ES,5,I006,105,05I006105
ELK CITY,PIONEER ES,5,I006,110,05I006110
ELK CITY,GRANDVIEW 5TH/6TH GRADE CTR,5,I006,115,05I006115
ELK CITY,NORTHEAST ES,5,I006,120,05I006120
ELK CITY,8TH AND 9TH GRADE CTR,5,I006,610,05I006610
ELK CITY,ELK CITY HS,5,I006,705,05I006705
SAYRE,SAYRE ES,5,I031,105,05I031105
SAYRE,SAYRE MS,5,I031,505,05I031505
SAYRE,SAYRE HS,5,I031,705,05I031705
ERICK,ERICK ES,5,I051,105,05I051105
ERICK,ERICK HS,5,I051,715,05I051715
OKEENE,OKEENE ES,6,I009,105,06I009105
OKEENE,OKEENE JR-SR HS (JR),6,I009,615,06I009615
OKEENE,OKEENE JR-SR HS (SR),6,I009,715,06I009715
WATONGA,WATONGA ES,6,I042,105,06I042105
WATONGA,WATONGA MS,6,I042,505,06I042505
WATONGA,WATONGA HS,6,I042,705,06I042705
GEARY,GEARY ES,6,I080,105,06I080105
GEARY,GEARY MS,6,I080,500,06I080500
Geary,Geary JHS,6,I080,615,06I080615
GEARY,GEARY HS,6,I080,715,06I080715
CANTON,CANTON ES,6,I105,105,06I105105
CANTON,CANTON HS,6,I105,705,06I105705
SILO,SILO ES,7,I001,110,07I001110
SILO,SILO MS,7,I001,515,07I001515
SILO,SILO JHS,7,I001,610,07I001610
SILO,SILO HS,7,I001,705,07I001705
ROCK CREEK,ROCK CREEK ES,7,I002,105,07I002105
